User Name,Thumbnail URL,Comment Time,Likes,Comment Text
MSaeed Creative,https://yt3.ggpht.com/WRHX7jgSuaRAnT47JCl1Umcj0d2AoaVvT27LG6i4K2tpmo093U36p_3Y4yvpB45eCpKAK-4X=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,Great work Ehmad! Lovely to see you conquering yourself first and showcase what is possible!! Keep it up
Khizar Hayat,https://yt3.ggpht.com/ytc/AGIKgqM3rgoR9isRxgmx9mzPEI_KN_UtobrQEcO6406-zA=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"Congrats on your achievements in 2020 and wishing you the best of luck for 2021.

If possible, please start a practical coding/programming series as well on your channel to let us know the industrial best practices."
Menz Talk,,2 years ago,0,"Assalamualakum.

Sir I have some Questions:

1. What is differnce b/w Computer Science and Soft-ware engineering?

2. What i should do after Fsc to become a software-engineer?

3.How many semesters are in Software Engineering?

4. What are the best universities for Software Engineering?"
Najeebullah Tahir,,2 years ago,0,In Sha Allah your Goal will be Accomplished 
Ibrahim Abid,,2 years ago,2,First best channel found for IT-related engineering in Pakistan. I am currently doing F.sc part 2 but I watched almost all of your videos. I will also do software engineering from FAST or NUST. Your work will help me so much to design my career greatly. May bless you in both worlds.
Anum Ehmad,,2 years ago,1,You can do anything that you set your mind to.Proud of you!!
Ahsan Nadeem,,2 years ago,1,You work are totally appreciable and very helpful. 
Ahmad_Waheed,,2 years ago,0,Thank you brother for helping us. You are one of my favorite person.
Nabeel bhatti,,2 years ago (edited),0,You are doing a great job.God bless you
Awais Ali,,2 years ago,0,"Bro u are doing good ..
So keep it up .
Plz make video on selecting university in Karachi for cs and se."
Usman Y.,,2 years ago,1,"You got this EZ, let's run to 50K subscribers and 21Km!"
Aizaz Haider,https://yt3.ggpht.com/txWp1AsLXMla_DgV3y2E6kKLuHEsqPj7ZXQhmZNoqfec_FgEePBNBgFMRz4efope_o5nWgnjyQ=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"thanks brother
You're doing a great job"
Abdul Ahad,https://yt3.ggpht.com/ytc/AGIKgqMWimUDSj0QH9BKTzcYKp5gnOyS7_KVKC5aryBE67C1I28Y6duIU0MQo9hyylLD=s48-c-k-c0x00ffffff-no-rj,2 years ago (edited),0,"i am doing software engineering(1st semester) from virtual university of pakistan, can you guide me what should i do during my studies? and what type of difficulties, graduated students from virtual university has to face in pakistan's job market.(if you have any knowledge about it)please answer me"
Abdul Hameed Khan,https://yt3.ggpht.com/ytc/AGIKgqO78wPs4MZfdpH9aBTfkcyc1QqsLY2jJjNOaBVqUQI=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Thank u soo much ...you have supported us too...keep it up..
Ahmad_Waheed,https://yt3.ggpht.com/M5H5pJJrA_zPkB8vhtPqWunptdCLaxEunx8QgTbUy9DyF7Chg_ygCyan1_4eXNr1JO0Hb53L=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Sir inshAllah we will reach more than 50k subscriber in 2021.
Muhammad Abubakar,https://yt3.ggpht.com/ytc/AGIKgqOqTHATmFIIe5Qzl9CagBEvyIfNUjWpPhhVA-dNmw=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Allah bless you Ehmad bhai
Aizaz Haider,https://yt3.ggpht.com/txWp1AsLXMla_DgV3y2E6kKLuHEsqPj7ZXQhmZNoqfec_FgEePBNBgFMRz4efope_o5nWgnjyQ=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"Insha Allah 50k soon 
best of luck bro"
Abu Ubaida,https://yt3.ggpht.com/ytc/AGIKgqOJmx80Pz2nDJauCQpxNVjO6gvjxfzuHnU0IRbTQw=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"Thanks, for your time."
Saddam Afzal,https://yt3.ggpht.com/ytc/AGIKgqNeADtYwUKJitHcWsOBHnXncx5-veSJZj7E4sdW6Q=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Sir java ka sath android development ksa hai market ma scene
Syed Faateh Sultan Kazmi,https://yt3.ggpht.com/ytc/AGIKgqPJxq-LuIXK2kgQOEY1Ma98jyYx6JhGzS-Z9C-VUuk=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"Best thing is, you reply on insta "
Shahyan Jatoi,https://yt3.ggpht.com/ytc/AGIKgqMU_SlEkbeZfKC0gdkJmJFYcmaSA0NzXolMWw=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Assalam o alaikum sir kindly tell me about iqra university is it good for BS SE or not because i can afford iqra university and also i have taken admission but not paid the challan yet kindly sir help me in telling is it a good reputed university or not?
World Walking Tour,https://yt3.ggpht.com/1WEwsT8gSfV9JlKH2EgVLzClnklwHKH_nHPb3LKcrSNAPgjXYspmEEmQ2H5Nq3hID93qSUQe=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,"Assalam o Alaikum Brother, What is Recruitment Process for Software companies in Pakistan?"
Areej Sohail,https://yt3.ggpht.com/ytc/AGIKgqNyebC43D0nwbUDBbaPkDcLCjJlmW3QatTjdg=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"Want a suggestion, is KASBIT is well good university for bscs?"
Mr. ShadiRegistrar,https://yt3.ggpht.com/ytc/AGIKgqNNClDc78LwJgbtVC4sV_oZBRqYj9qGQ9K92d02kA=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,bro consistency 
beluga,,2 years ago,0,great work thank u
Sufian Afzal,https://yt3.ggpht.com/ytc/AGIKgqOLdQgmSTBWfcXhJzzculUhaCRp90PipDZnKA=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,bhai itni late video ap ny upload ki 
Syed Basit Raza,https://yt3.ggpht.com/ytc/AGIKgqOkI4iuOeDvl23Q22YL9jLRWK6IBZvd0StRhFzjdg=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Please do a book recommendation video
Hassan Saleem,https://yt3.ggpht.com/ytc/AGIKgqM4-r78WVuhjeF1BLrN7spd7IGet1fGUvHMsymvMmU=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Ehmad bhai which camera and mic do you use ??
Najam Ul hassan,https://yt3.ggpht.com/ytc/AGIKgqP3GgueYXBR9GQpNPteoeGVLjAtjX1tjg5ddBDT=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Bruhhh you are lit
