User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Najam Ul hassan,https://yt3.ggpht.com/ytc/AGIKgqP3GgueYXBR9GQpNPteoeGVLjAtjX1tjg5ddBDT=s48-c-k-c0x00ffffff-no-rj,2 years ago,4,All guys take a moment to appreciate Ehmad Bhai  effort for us he takes time from his busy schedule not  much easy for a senior software engineer plus now he had to run his own software company still makes videos for us Thanks a lot ehmad Bhai
Arsal Naeem,https://yt3.ggpht.com/ytc/AGIKgqMa_uMbiJvGzQtBpllwF0VJQ9WgZDcQNyZcAsnECw=s48-c-k-c0x00ffffff-no-rj,2 years ago (edited),2,Was just scrolling through videos and I came across your channel 4-5 months ago and your videos have motivated me enough that I have enrolled in a coding bootcamp this year. Thank you so much and Congratulations on 3k subscribers. May you see more such milestones.
arham rasheed,https://yt3.ggpht.com/ytc/AGIKgqMoafmwGmqwtQp_4740w8XPwjUwoKokounujOCU=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Congrats sir on 3k just wanna say thanks for being with us in these times
Hassan Sajjad,,2 years ago,0,its glad to see the growth of this tech channel. I highly recommend to my friends as well because the content covered in this channel is most probably up to the mark. As a fresher software engineer i learned a lot from it. Best wishes for up comings. Thanks .
Wasiullah Khan,,2 years ago,1,"Congratulations Ehmad bhai on the 3000 subscribers, may this number keep on increasing!"
Abdul Basit,,2 years ago,0,"I m student of software engineering and i m literally don’t know what should i do after completing my degree. And i search about software engineering and watch your all videos.
Which give me a new way to do my degree.
Thank you so much  
& congratulations for 3K.
Boss aik q&a ho jaya (live)...?"
Zain Zia,,2 years ago,0,"Love your content  
Congrats man"
Syed Ibad Ul Hassan,,2 years ago,0,"Amazing thought of hosting a giveaway for your YouTube family!

But brother isn’t it illegal to print a publisher’s book from a local printing house?"
ar m,,2 years ago,0,"Oh damn, I missed Clean Code!"
Aymen Abbasi,,2 years ago,0,Congratulations of almost 3000 subscribers. Here's to many more to come! 
Usman Y.,,2 years ago (edited),0,Congratulations! Next milestone 50K 
Adeen Ahmad Zia,,2 years ago,0,i will definitely cause u have inspired me alot and one day I.A when i will be able to earn...U will be one of the causes of it..love u sir..keep making such videos and changing people(programmers) life
Muhammad,,2 years ago,0,Congratulations on almost 3000 Subscribers
Farhan Bajwa,,2 years ago,0,I am student of software engineering at university of sargodha I recommended your channel to all my class fellow's.
Hashim Jawed,,2 years ago,1,"I am ur big fan Ehmad bhai Insha Allah whenever i get an paid internship in karachi, i will choose 25$ pateron membership for my mentorship u are best and best teacher in world Masha Allah.️"
Hashim Jawed,https://yt3.ggpht.com/ytc/AGIKgqN3E0CErBU5iNKWzbNIzMYxdSKlsZkbJgGYSfJU=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,2 adds fully watched Insha Allah when i watch your 2nd video i will watch full add bcz u deserved Sir
Zia Rasool,https://yt3.ggpht.com/ytc/AGIKgqOrI6tTp0IZPYLBTBDzdMk52ztnMdx4KPSUvUFk3A=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Sir you're amazing and the knowledge you share is great for me
Muhammad Yousaf,https://yt3.ggpht.com/ytc/AGIKgqO1o-WgU1o-4MQokdJbPJ9JEEgwkKNlGgiFCw=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Congratulations ️️️
Zia Rasool,https://yt3.ggpht.com/ytc/AGIKgqOrI6tTp0IZPYLBTBDzdMk52ztnMdx4KPSUvUFk3A=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"sir when data scientist is coming ?
you told that soon i invite a  data scientis"
Moosa Butt,https://yt3.ggpht.com/ytc/AGIKgqOUU59xk4JVVh43ZNqbuSoPHtijEyyyrl91H_wnBA=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Road to 10 million subs
u know guy,https://yt3.ggpht.com/sXu-_x4J8QDT9i86qc4U8mH0hKZWiSobl_RZNv2erJtBDhIEMr1p7iNHZbKSIUu0f-z1R8XxFA=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Congratulations! Please Startups par video bnaya
ijaz Balouch,https://yt3.ggpht.com/ytc/AGIKgqNPPKZb1VWlHEQHWs3NnRRHcedrqWQN1BKCKsXchA=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Sir we are always waiting for you vedioes
Abdullah Azeem,https://yt3.ggpht.com/ytc/AGIKgqMasiQvc89XefnUCqQ3LiJGr6Qil7bOClYSJA=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Congratulations
Ibrahim Abid,https://yt3.ggpht.com/ytc/AGIKgqOPGeWFF4A3JqxGJuiXBc3XNo3c8qfbhzqwR53GlA=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"Step-1 Subscribe:  completed almost 4 to 5 months ago even I am in intermediate part 2
Step-2 Follow on Instagram:  I don't have Instagram yet
 Step-3 Fill the form: Filled."
Ahmad Waheed,,2 years ago,0,Thanks Ehmad Bahi.
Abdullah Tariq,,2 years ago,0,"they: Fluent Python

me: keery wali python kitaab"
ali ahmad khan,,2 years ago,0,congratulation sir
Haider Ali,,2 years ago,0,"Ehmad bhai from where you get this books printed, I need to print essentialism, don't find this anywhere in Pakistan."
inam khan,,2 years ago,1,"sir plz make video session about data science and ML.
and its job market for fresher in pak"
Syed Shah Hassan,,2 years ago (edited),1,"I have pdf version of clean code
Do let me know if anyone needs
Or secondly ehmad bhai react course ni aya yar abhi apka"
Muhammad Talha,,2 years ago,2,"what if I have no instagram. and secondly please tell me in (""youtube URL"") do we need to paste our Youtube accounts url. Please tell me."
Farhan Bajwa,,2 years ago,0,Congratulation
salman tahir,,2 years ago,0,Congratulations ehmed bhai
Cloud Sensei,,2 years ago,0,Clean Code is my Fav
Hammad Rafiq,,2 years ago,0,1st view
