User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Shahzaib Rind,https://yt3.ggpht.com/ytc/AGIKgqNMEekdIOR_E6ZiqVoSQFYorV0c5RYzq6dh3_ZHtA=s48-c-k-c0x00ffffff-no-rj,11 months ago,3,"To be honest I have not  Idea about Podcasts before watched this video. Amazing, I will start listening posdcasts from today."
Hadi Ali,https://yt3.ggpht.com/ytc/AGIKgqPEbLIfPngRo75eWhMTfzbfXryLmG76M-xAUihP=s48-c-k-c0x00ffffff-no-rj,11 months ago,3,"I also listen to the podcasts right before my sleep time. 
I really love this episode.
Can you please make a one about ""How books reading changed your life/books you like to read""? I have been noticing some excellent books in your background."
Muhammad Zain Abbas Baloch,https://yt3.ggpht.com/ytc/AGIKgqMLZ5mb5u5bTSg3E2UdVaSDswkXvWDzw1NQGsm5m9I=s48-c-k-c0x00ffffff-no-rj,11 months ago,7,Junaid Akram and Muzammil Hassan️
Faisal Fida,,10 months ago,1,"Ehmad Bhai, You're a Gem. I listen to your Podcast every Night. 
Each & Every word of yours is Valuable.

 
Hope to Work with you at cogent in Future. COMSATS CS Student Here!"
muhammad bilal,,11 months ago,3,Amazing... I have been listening podcasts for almost 2 year it changes my perspective and thinking phenomenal
Muhammad Bin Usman,,8 months ago,1,@Ehmad Zubair thanks sirrrr for sharing such productive content for us since we've a limited good pakistani content for university students
Syed Basit Raza,,11 months ago,1,I will start listening to podcasts after watching this video. Thanks a lot and keep making these type of videos as well.
Tech Insider,,11 months ago,0,Thing i love about podcast is i can listen while i am coding.
Anish Zahoor,,11 months ago,2,I listen to podcasts from Tkxel company whenever I go for a walk/run. Keeps me updated on the tech side of the world.
vfx art,,10 months ago,2,please start a series A to Z how to become a software developer in 2022 online course or something.
Waqas,,11 months ago,0,"For those interested in news/politics, The Economist is a great one"
Mirza Ahmad,,8 months ago,0,Thank you for this video. I also listen to podcasts.
Ihsan Ahmad,,11 months ago,1,very simple explanation
Abdul Wahab,,11 months ago,3,you should try out JOCKO WILLINK if you need to learn about discipline or impulsive for fun.
Ahmad Yer,https://yt3.ggpht.com/ytc/AGIKgqMMuUrykvrcTK1Zg-D42m44pmFWGKhOsu3We6dXJs5yBkkGuDbg6MoTTIaHLvPH=s48-c-k-c0x00ffffff-no-rj,11 months ago,0,New here sir g . 12 kay exam honay walay hai ICS next month . Future kay liye career dekh rha hoo   confused a lot  about that . What should i do?
Ahsan ur Rehman,https://yt3.ggpht.com/ytc/AGIKgqPeWaLx50My_vIZZcnyOxA7ndiMShroEPtVgw=s48-c-k-c0x00ffffff-no-rj,11 months ago,0,The Knowledge Project Podcast
Islam Valley,https://yt3.ggpht.com/yFs73_4qmR29pVp2EPSHAOCBJem0CqvdIF00y4d2m6TJha0QyFAQDrJizWNZ7JsT_K79G-yWhA=s48-c-k-c0x00ffffff-no-rj,11 months ago,1,Sir how about lex freedmen podcasts
Arsam Ashraf,https://yt3.ggpht.com/ytc/AGIKgqOPkJe0-JHwkzFjFhBiciPRU0RO_z5_-V6WmdQiQw=s48-c-k-c0x00ffffff-no-rj,6 months ago,0,Best podcast channel is “Tuaha Ibn Jalil”
Fazila Hand Embroidery,https://yt3.ggpht.com/w1JQ9do6Zmn0rNS8bh5Uds_3fX0yMzFLRqgSdCSvLUEB7AbRXkGMaIWwxb-FvuY5fZAhsp05=s48-c-k-c0x00ffffff-no-rj,3 months ago,0,Can you suggest some good podcast channel.
Sam Billings,https://yt3.ggpht.com/a1RmWUOorob1heKZ73fxzZ2sSEB7P3V-26-bC5WEZiwGSGrxwJAjhkiXq2P7gSuynKsTHj9kzA=s48-c-k-c0x00ffffff-no-rj,10 months ago,0,Bahria university cs kay liya kaisi hai???
Muhammad Tahir Aslam,https://yt3.ggpht.com/ytc/AGIKgqP0Sx_NSgA_iDF2NvEPPkrjArDnHutlj1NJeHwsPA=s48-c-k-c0x00ffffff-no-rj,11 months ago,0,Listen to Lex Fridman's podcast.
Anees,https://yt3.ggpht.com/l9aqYULeOIragCNfGMF31q5VIn8Y00_mz8pqnUvHpfPWip3BiAr6OaBskjK_aAfn8Oqpy8db=s48-c-k-c0x00ffffff-no-rj,11 months ago,1,Muzammil hassan
Ahsan ur Rehman,https://yt3.ggpht.com/ytc/AGIKgqPeWaLx50My_vIZZcnyOxA7ndiMShroEPtVgw=s48-c-k-c0x00ffffff-no-rj,11 months ago,0,Lex Fridman Podcast
PAK Lovers,,1 month ago,0,Faisal warraich podcasts
MNS,https://yt3.ggpht.com/mfzooIxR9qPtng9YpOMC2BJg5tsacSt61mELEsOWiQzGwFTB3XnatE1Asycct1CExdkr_vPNqjM=s48-c-k-c0x00ffffff-no-rj,13 days ago,0,Junaid Akram Muzamill hassan Tanveer Allabadia naeem sikarndar
Muhammad Ans,https://yt3.ggpht.com/okq5g2kk-wnyOIodusxdYpEOiHUHaUIcJaEKA74L6G83CI7JX4cZA-9Ilk8pdJJ_R-oHw_Rb=s48-c-k-c0x00ffffff-no-rj,11 months ago,3,Muzzamil hassan(tbt) (2)
MUHAMMAD FURQAN Khan Jadoon,https://yt3.ggpht.com/ytc/AGIKgqPHaRCBIbjgOsoKJIzCy2YvCfzhXugh6fQpHw=s48-c-k-c0x00ffffff-no-rj,9 months ago,0,---hello-
