User Name,Thumbnail URL,Comment Time,Likes,Comment Text
AsadAliCh,https://yt3.ggpht.com/ytc/AGIKgqO722L_bFI47P4QVQGgQQ-e0DbX-WgEl0aHtQaYO9uNaM7V0ObgZSGxvMbPI7l_=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Happy to see you after a while.Please also make  a video about Data Science for begginers as it's very confusing field.
Aliyan Ahmed,https://yt3.ggpht.com/ytc/AGIKgqPbka_YVMknFdJ7LLBnzwXAjDfmogG0qg-7xUU4=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,"ehmad bhai best of luck for half marathon and yeah please try to engage any data science professional regarding career/opportunities!
will be waiting for it."
Rizz Rullzz,https://yt3.ggpht.com/ytc/AGIKgqMoD1n3z6KsA_OmHW47thhknlik1ry0TcGI5ogJNg=s48-c-k-c0x00ffffff-no-rj,1 year ago,3,"finally our brother is back MA sha ALLAH very happy to see you again bro , looking forward for upcoming great stuff. stay bless bai."
Mir Munawar,https://yt3.ggpht.com/ytc/AGIKgqNFfwkHeiUjsvnT4CFCEGIP3YPrFd_pBEwBLg=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,"Looking forward to more videos about such topics .
Congratulations and best of luck !"
Jahanzeb Ahmed,,1 year ago,0,"Data Analytics vs Data Science, please make a detailed video on this topic"
Salman Channa,,1 year ago,4,Thanks for telling me about these now I am gonna thanks my team lead Mr Noman Shah and keep loving our company I2P Sukkur for having not having any bad sign ️
Muhammad Tahir Aslam,,1 year ago,0,"Congratulations man, glad to see you back."
ali.,,1 year ago,0,"Sir in software house can u also make softwares for offline market like hospital,stores,etc...?plz reply"
Usman Y.,,1 year ago,0,Congratulations and welcome back! Best of luck with managing all your responsibilities.
Ahsan Farooq,,1 year ago,0,Sir please make a video about networking ... networking vs programming pro and con etc
Umair Waheed,,1 year ago,0,This is so relatable man! All valid and excellent points!
Mohammad Talha,,1 year ago,3,"Congrats for the lill Ehmed, glad you are back ️"
Ibrahim Ahmed,,1 year ago (edited),0,Sign 1. You stop working on your side hustle
Mani,,1 year ago,1,"Welcome back, I would recommend Logitech M585 or M590 Silent, pretty good mouse"
Shabir Hussain,,1 year ago,0,Bro web development ka roadmaps define kra how build logical thinking after learn basic of programming language
abdul haseeb,https://yt3.ggpht.com/ytc/AGIKgqMaUrixFiivroo6tHCghWKNoph_xxX4BQUDwA=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,Your videos are the best thing on YouTube ️
NUTECH Student Communities Official,https://yt3.ggpht.com/j2xpobafn8ZATptqXTundozowr06_kzS13tp4QrbqRppYke7dZIHSQphEb_KUfGg6lhroDCh=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,Congratulations for new chapter. My best wishes are with you.
Waqar Ahmad,https://yt3.ggpht.com/ytc/AGIKgqMsSKoLDJnu7bJ9DYrMMa-FwghgVErxYVXH=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,that is exactly what happening to me right now no one is giving me chance to learn at their company every single company asking for fullstack from an entry level guy like me i mean how am i gonna learn if nobody is giving me chance i am just lost every one is telling me if we hire you it means that we will have to wast our time training you
Ahmad Waheed,https://yt3.ggpht.com/ytc/AGIKgqN2m8GmFg33DyF4GZKPVlSKpaf4g--YsTb-9Pd0=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,Thanks for this video. Ehmad bahi your new look is so good.
Muhammad Zafar,https://yt3.ggpht.com/ytc/AGIKgqO67BONdacrYL649pF4KbyJkf6tVttoSqPeYc-6=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,Please make a video about getting internships in pakistan in detail
Falcon X,https://yt3.ggpht.com/ytc/AGIKgqOm48EXmMC4QUJ5BAaBpMNtTBO1C_Q5fdZp7TOU7g=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,Sir which uni is best for software engineering
Ali Jutt,https://yt3.ggpht.com/ytc/AGIKgqOFG3-db9Ajx5hi97ADefyafr-DfMSH3e8i_CSkZQ=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,I am doing my Bscs from Bahria University Islamabad and i will apply in your company after 4 years
