User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Ehmad Zubair,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,8 months ago,1,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv
Anna Zubair,https://yt3.ggpht.com/ytc/AGIKgqO5s0RSR2OpBpqbO3Pf0F3b6rXN69qtA9Dna_2puk4=s48-c-k-c0x00ffffff-no-rj,2 years ago,8,"Proud to know someone so dilligent and experienced with a spectrum of other talents!! Can't wait for further episodes,, you're doing great :)"
Muhammad Ibtasam,https://yt3.ggpht.com/ytc/AGIKgqOBhMBgYvBwoSyAzVyitfEZ9iol_owbAnuhSZkjNMQUILWPedDbent7TF71vpH0=s48-c-k-c0x00ffffff-no-rj,1 year ago,2,it gives me a motivation that his cgpa is 2.8 as a student of fast. well a big motivation for all Fastians as we always struggle to get a gpa around  3. thanks brother for this vedio and result you get a one more subscriber. JZAKA ALLAH..
Tanay Gupta,,2 years ago,10,"In India Data structures, Algorithms , OS, DBMS, OOPS ,Puzzles and little bit of system design are asked in interviews."
Yousra Zaheer,,2 years ago,2,This episode is legendary. I learned a-lot and this is inspiring me more.
Anonymous,,7 months ago,0,"I appreciate your work, I'm a graduate in Zoology and I was studying biology as my major since last 8 years but now after completing my 16 education I want to switch, I always wanted to be in computer science filed but I'm confused like what to choose, to start my journey in the filed of Cs I have to choose between a web design and development degree or a simple computer science degree ( although I have checked the complete course outline of these two from university's web, they have exactly the same course scheme except in semester we'll study few things like mysql, php, etc in web development and we'll study maths and geometry in the Cs course) , both of them are pre-graduate  degrees consisting of 2 years time span and after this I want to go for a bachelor's degree of a software engineer or just a bachelor in computer science It'll be really helpful if you could give a hint of what path I should choose"
Anish Zahoor,,2 years ago,3,Thank you for answering my question.A really insightful episode for me and all the fresh grads out there.
Aliyan Ahmed,,2 years ago,1,"just another excellent video man you are the only i have found who addresses real issues regarding industry , uni , skill and career ! keep going brother .
gotta benefit from u as much as i could .
just posted a query as well so, please adddress that as soon as possible.(urgent)"
Mr Paradox,,1 year ago,0,One of the most knowledgeable videos related to career in computing 
Aatif Kiani,,2 years ago,0,Thank you Shahroz! So much wisdom at such a young age.
Muhammad Faizan,,2 years ago,0,"AoA sir , i,m doing BS(SE) from Fast karachi ,looks good to see the fast graduate(shahroz Ali) with you. Before Admission in Fast , i,ve done AI course from PIAIC .So my question is that which skills or courses should i do , which ,ll be valuable for me for job perspective.Also , i have done python programming, but not to much specialized in it.Hopefull for a quick response!!!"
Husnain Shafiq,,2 years ago,3,"I've learn alot from your videos, and it will definitely help me in my career."
Avoid complexity,,1 year ago,1,"Congratulations for 4k subscribers...
Thank You very much for uploading such a great content "
Yousra Zaheer,,2 years ago,0,This episode was not only informative but also i enjoyed it alot 
Abrar Ayubi,,2 years ago,2,"Very informative channel sir, i have gone through...you are doing good, God bless you.... aik video esi be banayein something like a roadmap to become a software engineer right from the roots, like matriculation or before if anything. it will be very helpful actually for the kids to clear their concepts to what to do"
Asfand Yar Khan,,2 years ago (edited),0,"Thank you Ehmad Bro, that was incredibly helpful. 
Keep it up!"
Muhammad Ahmad Bilal,https://yt3.ggpht.com/ytc/AGIKgqMIYbcdx8mZFu8GGexXWQ7fcIIVJf08H5CPspH_=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,Really great interview! Please do a video on how to do a startup!
Hammad Hassan,https://yt3.ggpht.com/ytc/AGIKgqPs2FK3um3SnWRI14pSY8XTsRwu7kCmY9Z8Pg=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,Very informative and encouraging for Fresh Graduates
