User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Muhammad Aashir,https://yt3.ggpht.com/ytc/AGIKgqO4RwEQ-xdK9ka_NdGxGjqkRx6HhGFaC0y3ybBHRw=s48-c-k-c0x00ffffff-no-rj,10 months ago,2,Wish this video would have been published a year ago! I wouldn't have wasted myself by joining such a company...
Wasiq Karim,https://yt3.ggpht.com/ytc/AGIKgqPZaYlFhOhFzmdBTdCecY08S-u0tspJopmKWDaFlQ=s48-c-k-c0x00ffffff-no-rj,10 months ago,0,Please make video on scope of Project Management in Pakistan. What is the salary growth as compared to a developer
Diwan Muhammad Ali,https://yt3.ggpht.com/ytc/AGIKgqOASqlqt_cWjTAk2aylAyHAQpYffmMWEORBWC7s2Q=s48-c-k-c0x00ffffff-no-rj,10 months ago,2,My FYP was in dotnet winform and and now I'm learning ASP dotnet. Do i need to change my path now. If yes then what do i go for?. I also have interest in UI/UX designing is it a better option or should i stick with development?
Aizaz Haider,,10 months ago,4,waiting for project management and career growth videos.
MR Mack,,10 months ago,4,"In Fast Nuces Lahore, 80k-100k is average while above average candidates are getting offers around 110k, 125k, 130k, 160k."
Muhammad Araiz Bin Saqib,,4 weeks ago,0,how do we see that PASHA report for 2023 year average salary
Ahmad Waheed,,10 months ago,1,Thanks for uploading this video.
Naeem Ullah,,5 months ago,0,Thank you so much sir for informative videos. Very helpful videos for all  fresh graduates.
Sam Billings,,9 months ago,0,Islamic university is good for CS???
Atif Ali,,3 months ago,0,PHP is really dying?
MudiBadshah,,9 months ago,0,Thank you sir for this great info
Muhammad Tayyab,,3 months ago,0,Well professional Anylses sir
Anas Ishaq,,10 months ago (edited),2,"Plz plz do reply
Is Air University Islamabad or UET Taxila good for BSc.CS?"
STAR KING,,10 months ago,2,Ehmad bhai ap kitna earn karlaty ha month ma please reply
Faiz Khan,https://yt3.ggpht.com/ytc/AGIKgqOBsROtuediJRQC16r1DPJp0KthVgWspCVftMjF=s48-c-k-c0x00ffffff-no-rj,10 months ago,2,"@Ehmad Zubair bahi meri ghr ky gareeb university federal urdu university hai kia m usma admission ly kia wo sahi rahi as a software eng ky liya 
ek tu us uni ki fee kaam hai or ghar ky bhi kareeb hai please ap guide kr dy 
Thank you"
Taha Soomro,https://yt3.ggpht.com/ytc/AGIKgqP7HHGhxJJvkkR_D8d-hjToSExJZOmVMkGTdw=s48-c-k-c0x00ffffff-no-rj,10 months ago,1,noice
Muhammad Usman Akram,https://yt3.ggpht.com/ytc/AGIKgqOK4cZ1N8eWx6Jo3VRlHEgSEbGYzph_BlHIIQ=s48-c-k-c0x00ffffff-no-rj,10 months ago,2,How can I contact you??
Syed Hassaan Ahmed,https://yt3.ggpht.com/ytc/AGIKgqMhPqUS-tPsltJ4MbR9uE_htOyLobSuJi8ayQ=s48-c-k-c0x00ffffff-no-rj,10 months ago,1,Can you justify that dotnet is dying?
