User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Ehmad Zubair,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,8 months ago,1,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv
Zain Baloch,https://yt3.ggpht.com/ytc/AGIKgqM5fa3z8W90pFLVHuED1YlmhLbO0vlHg2lu5axj=s48-c-k-c0x00ffffff-no-rj,8 months ago,15,"17 years old aspiring to be a Software engineer. I'm learning a lot of things from you. Currently in 11th grade and I'm learning React.js and Next.js along with Backend stuff. Ehmad Bhai, can you make a video on getting internships for web dev roles for high-schoolers? It would really help the new generation a lot to get real-world experience."
Muhammad Haris Khan,https://yt3.ggpht.com/ytc/AGIKgqP4SByCVVCuYHHTs-M4xM344IzACHBL20PWoaFT_Q=s48-c-k-c0x00ffffff-no-rj,8 months ago,1,"It was a great video, I liked the part of working at a compnay where you have mentors in the very start of your career. This truly is impactfuly and one learns many things from their one to one guidance which normally doesnt come up if I am freelancing or doing all the work myself. 

Thanks for the series @Ehmad Zubair."
Moeez Ahmad,,8 months ago (edited),0,"Ahmad bhaii much needed such series. I am gonna love it. Thanks a lot for your effort of sharing experience with us. And for sure I have faith in your words ""Mentor hona bht zarori hy"" this was the very first lesson I learned from you and applied in my life which helps me a lot. Love u"
Muhammed Hasnain,,8 months ago,1,"Want to see you making more videos on different topics like Website development roadmap , backend development, and how to choose between a wide variety of fields.
Keep up the good work and thanks a lot."
muhammad bilal,,8 months ago,0,"Loving this series, i would like to say thanks because it will clear alot of misunderstanding/mistakes for those who are starting new career"
Hadi Ali,,8 months ago,0,"I really love the content you are producing.
Such an erudite episode. looking forward to seeing you in the upcoming series.
May you touch the heights of success. "
Saad Rajpoot,,8 months ago (edited),2,"We're Thankful to you, for this, Ehmad bhai ️"
Rao Abdullah,,8 months ago (edited),0,Sir the content like this is very rare in Pakistan So thank you for guidance and keep it up!!️
Haris Malik,,8 months ago,0,You're really adding a value to aspirants journey. Thanks
Ahsan Abdur Rehman,,8 months ago,1,Thank you so much for all this!! Been a follower since a long time. Such content is so unique and important for us in Pakistan right now. Waiting for more learning from you <3
Shah Arbaz,,8 months ago,0,"WOW YOU ARE a such greatman for next level IT Industry specially for pakistani peoples who have no knowledge about their career path in the field of IT,"
Danial Zahid,,8 months ago,0,Amazing video Ehmad!! Maybe divide segments into chapters for easier navigation?
Bilal Ahmed Khan,,8 months ago,1,Glad to have you back on the channel !
Islah Din,,8 months ago,0,I really like the way you speak about your life.
Sohaib Karim,https://yt3.ggpht.com/ytc/AGIKgqPOXSUy777w6EXHp6r3q5gJTsNTNDkxRDdG0A=s48-c-k-c0x00ffffff-no-rj,8 months ago,0,Sir kindly interview Zaki Shaheen who also works for Facebook
muhammad bilal,https://yt3.ggpht.com/ytc/AGIKgqN8ib7_ybj5WozyA8soeWqVOeCCcqiCjiLhO-unIA=s48-c-k-c0x00ffffff-no-rj,8 months ago,0,"Waiting for the next episodes, keep on making this"
Aizaz Haider,https://yt3.ggpht.com/txWp1AsLXMla_DgV3y2E6kKLuHEsqPj7ZXQhmZNoqfec_FgEePBNBgFMRz4efope_o5nWgnjyQ=s48-c-k-c0x00ffffff-no-rj,8 months ago,0,"looking forward to this series
will help a lot to newbies"
