User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Hina Jabeen,https://yt3.ggpht.com/ytc/AGIKgqNe8-c1Yz5rxfZDIbFt3GGti7pqmuau3JeGgSa0nnGjipka6olfBXXsuQx7yxCj=s48-c-k-c0x00ffffff-no-rj,7 months ago,0,"Assalamualaikum Sir, just exploring your YouTube channel nowadays.  A lot of your videos is about software engineering, university life and the way forward.  My question is that can someone become a software developer without a degree or someone with a non tech background."
Hani,https://yt3.ggpht.com/ytc/AGIKgqPG5SOnOUlI92V_UIE62jG9HPqN_j2dbwbs1w=s48-c-k-c0x00ffffff-no-rj,7 months ago,0,Can you do a video on should you go for a startup or a big company if you are a fresh graduate?
Hajira,https://yt3.ggpht.com/ytc/AGIKgqNtKv6KMfoouy0K5I52G-HBGDWT0Y8DOGdtHMy3IXCzaljEjBikxEPlBEhGrBq8=s48-c-k-c0x00ffffff-no-rj,4 months ago,0,Sir I am inter part 2 student. I am also willing to become a software engineer. I just want to know from u that is Islamic university Islamabad suitable for this or not?
no iam,,7 months ago (edited),0,AA  brother kindly make video on fyp for SE students and all possibilities and if someone wants to do his fyp with  companies or Arbisoft.
Haris Malik,,7 months ago,0,Ehmed bhai why most of the companies and startups in  Pakistan are service based.? Why we don't build products?
Subhan Liaqat,,7 months ago,0,"Thank you for your sharing amazing content.

Can you please check your mice? You voice was too low."
Hamza Butt,,7 months ago,0,Hello bro recently i apply in university for software engineering and i am selected in Dha Suffa university Tell me bro is dha suffa is good university for se
ANNAN AKRAM,,5 months ago,0,Sir kia kisi computer ki degree krne ke liye ICS krna zaroori hai FSc pre engeeniering krky agar computer ki koi degree kray tooo mushkil hogi ya nhi please sir make video on this topic
M Hassan,,7 months ago,0,Sir kindly make a video on Blockchain development
Ali Nasir,,7 months ago,0,Sir ek video Network Architect pe bhi video bana dein ke kia value hai is ki pakistan me
arham amI,,6 months ago,0,still waiting for the next episode
Hasnain Haider,,7 months ago,0,Next episode kb a rahi h sir?
arham amI,,7 months ago,0,totally worth the time
Hasnain Haider,https://yt3.ggpht.com/i47fHO3IcbKcmmIZRKDmHOs6PqqvpHMMVzbqvX0NZ8l10EqbvqiumeX7ZfNDKXqqDTeyy1kl=s48-c-k-c0x00ffffff-no-rj,7 months ago,0,Best best series ever
A,https://yt3.ggpht.com/ytc/AGIKgqOkEiLKuI-jo7HsTtQpRWEfmd7TBqFTpby2OcU33BSZcK2Zt7B5W-HycpAaIwnV=s48-c-k-c0x00ffffff-no-rj,2 months ago,0,sir next part?
Jony Bhi,https://yt3.ggpht.com/vCeZdnYt5N2NqcE1AhkqU88hnhl0vdgucfjj8za5bDC3RcNm35Zwr1XudUHp1NB1hYwLWL2cXg=s48-c-k-c0x00ffffff-no-rj,7 months ago,0,plz put Short cuts to jump
Aizaz Haider,https://yt3.ggpht.com/txWp1AsLXMla_DgV3y2E6kKLuHEsqPj7ZXQhmZNoqfec_FgEePBNBgFMRz4efope_o5nWgnjyQ=s48-c-k-c0x00ffffff-no-rj,7 months ago,1,audio volume boht low hai
Jony Bhi,https://yt3.ggpht.com/vCeZdnYt5N2NqcE1AhkqU88hnhl0vdgucfjj8za5bDC3RcNm35Zwr1XudUHp1NB1hYwLWL2cXg=s48-c-k-c0x00ffffff-no-rj,7 months ago,0,its confusing 
