User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Syed Ali Hassan,https://yt3.ggpht.com/ytc/AGIKgqPphuD6Yvv6CZzbuXiiYcZDLypjWMrEdUXEZP2_=s48-c-k-c0x00ffffff-no-rj,2 months ago,3,"Finally that you are back, please also  invite cyber security researchers and bug hunters on the podcast. Specifically Etizaz Mohsin, Rafay Baloch and some other famous Pakistani cybersec guys. I've watched some of their podcasts but they weren't tech focused. I believe if you invite them you could have a better conversation with them."
Nyctophile,https://yt3.ggpht.com/mt2bovS3EnCNq-AWe8Vr5olBlFkF4oGDjhSi2QSvaivvLuHlgKb_uk9nlNpCeZo-o-HRT35rn0Y=s48-c-k-c0x00ffffff-no-rj,1 month ago,0,Mostly project/product managers are from business background. At most you need business degree for this role.
Faaiz Aslam,https://yt3.ggpht.com/ytc/AGIKgqOUJ37d04YVTSXZuvZVBSjlRmNMEcOZrxn5pbkS=s48-c-k-c0x00ffffff-no-rj,2 months ago,0,Please invite a DevOps Engineer to your podcast and how to switch to DevOps from as a fresh grad ?
Saad Ali,,2 months ago,0,"From a DevOps perspective, I might disagree on the point that you have to take all the blame on yourself, but the rest is true."
Fazila Hand Embroidery,,2 months ago,1,Hlo emaad plz make a video how to start a software company.Thanks
Ahmed Raza,,2 months ago,0,Ehmad you are just awesome bro.
Adeel Irshad,,2 months ago,0,"Thank God, you are back."
Mansha Ali,,2 months ago (edited),1,Bhai please make video. How to crack product base companies like Google from Pakistan as a student. Is it actually possible
Asad Mehdi,,2 months ago,0,How to start a successful software company in Pakistan.Your content is really helpful.
arham amI,https://yt3.ggpht.com/ytc/AGIKgqMd7P_MIV3Lj56FKdqs9Zd8Ytz_z7mS-v9FFw=s48-c-k-c0x00ffffff-no-rj,2 months ago,0,awesome man
Hasnain Naveed,https://yt3.ggpht.com/ytc/AGIKgqMnyjIKig9Il2_IryLtFzCPiJhO6Fhn6CLMlfvXEQ=s48-c-k-c0x00ffffff-no-rj,2 months ago,0,Good one
Hammad Ali,https://yt3.ggpht.com/ytc/AGIKgqMots0turvZT8XzGBRC4i7aDinXOEv7wX59u1AWRg=s48-c-k-c0x00ffffff-no-rj,2 months ago,0,"YESSS, back again"
Camper School,https://yt3.ggpht.com/iGEe7h0OjR5-ahLOIh9UptnokX36beQcw7BwRbot8XllT7Qvy7iCEuPr9rKWVmaVIwGVq8YsDQ=s48-c-k-c0x00ffffff-no-rj,2 months ago,0,Finally
The Dark Khan,https://yt3.ggpht.com/ytc/AGIKgqO_usIgVisTUoi1Bb6roVWkC6pR14i6OdjOzw=s48-c-k-c0x00ffffff-no-rj,4 weeks ago,0,"Usman is the man! 🫡
MashaAllah"
shaguftakhanswati,https://yt3.ggpht.com/AkomPgGY1ZG7LJE41gxdH0RQWk43wfPB3g9hPewy4izUGaoNhPjjNSH_MpcRrIwD0sxH_Pm3GA=s48-c-k-c0x00ffffff-no-rj,2 months ago,0,
