User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Ehmad Zubair,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,8 months ago,0,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv
Ather Tayyab,https://yt3.ggpht.com/ytc/AGIKgqP6kXvYWnZwBztX1s-i-PQ4JaNF-YLery9EzaBF0A=s48-c-k-c0x00ffffff-no-rj,2 years ago,36,One day you will be a biggest inspiration for every student in pakistan..inshaAllah
Syed Faateh Sultan Kazmi,https://yt3.ggpht.com/ytc/AGIKgqPJxq-LuIXK2kgQOEY1Ma98jyYx6JhGzS-Z9C-VUuk=s48-c-k-c0x00ffffff-no-rj,2 years ago,6,I literally had no idea that the HR team uses so many sophisticated tools and methodologies just to process the applications :)
M SHAHZeB,,2 years ago,3,"That's why I love Arbisoft <3
They give equal opportunities to all people regardless of universities and cgpa.
Great personality ayesha mahmood!"
Umara's Archive,,2 years ago,0,"I took a professional gap after bachelors and now as I'm looking in between jobs, I'm getting continuously and silently rejected by the companies. This podcast is really very helpful for a person like me, I hope I'll come out my career block soon by working hard and improving  the skills mentioned by you guys. Thanks to you for this valuable 1 hr discussion and thanks to the YouTube algorithm for recommending me this video."
Mr Professor,,2 years ago,3,"Your content is so invaluable bro, it's showing us the reality in the perspective of Hr. Trust me it provided immense value as i am too CS UNDERGRAD️
Would appreciate if you make one about track for Cs students in 3,4 semester to do as i see we don't see what actually we are gonna do in future"
AwaisFayyaz Dev,,2 years ago,1,"You are doing a wonderful job Mr Ehmad. More power to you!
It would be good if you also provide links to 2 to 3 nano degrees that were being discussed."
zub c,,2 years ago (edited),0,"A very elaborate and wholesome interview, which is not only good for the IT buds (even seeds) but also for HR persons in any field. Bringing the top professionals for interviews is your forte. Helping the students in the pipeline to become good candidates is an honourous task. Sharing and سکھانا is not so common but is definitely very important. Keep up the good work!"
mishal,,2 years ago,0,I wish I could find this channel a bit earlier.... By the way amazing content. You are motivating enormous lazy souls like me to dive again into the stream of coding and  tech with a different perspective
Talha Bukhari,,2 years ago,1,"ThankYou so much for giving this opportunity to all of us.
I keep on waiting for the next episode.
Amazing work"
Syed Faateh Sultan Kazmi,,2 years ago,1,One of the very few channels with such an awesome quality of content. Thanks for this video bhai ️
Adeela Shokat,,2 years ago,0,"Wow such an inspiration, you both. I am a fresh graduate and want to peruse my career as a developer. And believe me that's all i wanted to hear. And no doubt being a girl i am also facing so many difficulties. Like going to other cities for interviews etc. As i am from Bahawalpur and here's no such work or job opportunities. But anyways I'm trying my best and InshaAllah i will make it soon. But this video and your words forced me to comment. Great work sir. Hoping to have mentors like you for my career as well. Great work "
M. Ammar Raza,,2 years ago,0,"Next meeting im wishing with a full stack developer, and all the questions of a fresh undergraduate student and gradutes..Jazakallah sir you are connecting us with the industry that where are we and where is industry going.Jazakallah jazakallah"
Study Desk,,2 years ago,0,Thank you sir for such stimulating and inspiring shows.
