User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Momna Imran,https://yt3.ggpht.com/ytc/AGIKgqMahT28Knbjseu8AlZuMDmF2aoKuZojhy-Cdhpfyp0=s48-c-k-c0x00ffffff-no-rj,1 year ago,4,I wish I had found this channel while I was still in university but I'm glad to be here thank you for the amazing content
Ahsan ur Rehman,https://yt3.ggpht.com/ytc/AGIKgqPeWaLx50My_vIZZcnyOxA7ndiMShroEPtVgw=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,Why I was unaware of Ahsan and Walee earlier. He is a gem. Thanks and salute to you for this content
Saddam Afzal,https://yt3.ggpht.com/ytc/AGIKgqNeADtYwUKJitHcWsOBHnXncx5-veSJZj7E4sdW6Q=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Aoa ehmad bhai ... I am 6th sem student doing cs and doing my best to work in software industry to pursue my dreams... But i am doing my degree in tier 3 college... Watch all of your interviews and vidoes you only invited Fast and nust graduated students .... It's request to invite Tier 3 college students who excel in his field like Nust and Fast students with in 2 to 3 years...it's helps alot to me and others students who demotivate by thinking that they don't get admission in this universities
zub c,,2 years ago,0,"Continuing with the series of guidance sessions for the BUDDING SOFTWARE ENGINEERS, the 7th episode on Ehmad Zubair's YouTube channel befits rather exceeds the expectations...
Will done, and keep up the good work...!!!"
Sermad Mehdi,,2 years ago,0,"Loved ur video. Sir my Question is now everyone's concern. 
Everyone is rushing for CS SE nowadays, jisko 3 4 saal phely koi pouchta nahi tha.. ab merit is so high.. So we think There will be Saturation in this Field in 2026-2027, this means Less opportunities, difficult situations.. What you think? 

Please make video on this topic soon. Another thing is You say there's everything is in Internet. We Don't know Where to start? It's easy for you to say but difficult for us. Explain the pathway. 
Please Reply :) ️"
Asfand Yar Khan,https://yt3.ggpht.com/ytc/AGIKgqM4la_y75jKcsAGqNQ3qvtuwmofY3juKNHGNQQG=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,"Great interview as always Ehmad, Keep up the good work."
Ali Ahmed Khan,https://yt3.ggpht.com/ytc/AGIKgqN8_OSrJMeYvlUZmKXknbm3UAr6u2RIiPlloncg6A=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,"Ehmad bhai why did you stop making videos bro. This channel is like a blessing for CS Students. Please start making videos again. Don't look at the views, just keep uploading and your channel will grow. Please start making videos again.."
Sammar khalil,https://yt3.ggpht.com/31FAQzVe3gldhdNwQ6hNgMSr-_iALgotPNDt1qezq8Y7gwM5H1Y79MVo09KjbYR3hkbEFFE2yg=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,"plz make  detailed video on students who are not good at coding  and recommend them with alternate careers , invite non coding technical people. It would be great if you invite a ux designer."
Muhammad Zafar,https://yt3.ggpht.com/ytc/AGIKgqO67BONdacrYL649pF4KbyJkf6tVttoSqPeYc-6=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,such an amazing channel one of the top channels of pakistan in terms of content/knowledge...please never stop making such videos thankyou
Fateh Ali,https://yt3.ggpht.com/ytc/AGIKgqND-uO_PipAEHwMZSFw__RtT8Z95R0ba8_x4a_ALA=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,Really amazing interview. So insightful.
Farhan Bajwa,https://yt3.ggpht.com/ytc/AGIKgqO30pi_LHRc4KxNXSokw6MfyZ1hP1D_vAFWX59T=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,This guy has the guts to make walee first unicorn startup From Pakistan
Mr DashBix,https://yt3.ggpht.com/xdH1JlRU3zaXFWXvJ0WS09h6sEkumxjbVrc5qbNm_AR8cg-wyRBOvvbxgka6ZCKub7dIkZ-kFA=s48-c-k-c0x00ffffff-no-rj,9 months ago,0,Believe me gys I have seen many podcast and interviews on this channel but this was top of them so much intellectual person Ahsan is I am amazed and I totally agree with his perspective and one message of mine is to ehmad bhai keep up this effort you are guiding and motivating alot of students and programmers.
Ather Tayyab,https://yt3.ggpht.com/ytc/AGIKgqP6kXvYWnZwBztX1s-i-PQ4JaNF-YLery9EzaBF0A=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,Excellent and very informative... Keep it up... 
Ali Khan,,2 years ago,0,"Great interview ! 
You're a good interviewer zubairi! :)"
Abu Ubaida,,2 years ago,0,"Mashallah, SIr tremendous interview."
Ahmed Raza,,1 year ago,1,Thank you for the interview Ehmad. I am learning a lot.
Ali Hamza,,1 year ago,0,Bro ur voice is so soothing!️ keep motivating us!!
Moosa Butt,https://yt3.ggpht.com/ytc/AGIKgqOUU59xk4JVVh43ZNqbuSoPHtijEyyyrl91H_wnBA=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"thank you for uploading this 
also can you please use timestamps next time."
Talha Bukhari,https://yt3.ggpht.com/ytc/AGIKgqM7VkTlDsHi6t3ixuv8o1uoB2kMoo-ZTYGBNQ=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"Great work
An hour well spent"
Hardin,https://yt3.ggpht.com/nCuWKa0yIgI5Yezw995hE2Bl4TCwE57Vo81y319nImai68nhHoRn9OIU4Y3tPhQFnyFz8w6sqA=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,"Sir 1 Software Engineer ke pass kia kia skills hone chayehe.
• How many programming languages should to learn
and most important skills is what??"
