User Name,Thumbnail URL,Comment Time,Likes,Comment Text
zub c,https://yt3.ggpht.com/ytc/AGIKgqNiOSJykUUM5zqLs-EGbMZSdIttPtjZpAWJhFxT=s48-c-k-c0x00ffffff-no-rj,2 years ago,12,"Having knowledge is one thing, spreading it is another - and divine..."
Shariq Shaikh,https://yt3.ggpht.com/ytc/AGIKgqNaY_HqARnpbT_-0nxeN1PC-nV_7x-PevoPXM9Xeg=s48-c-k-c0x00ffffff-no-rj,2 years ago,4,"Well, glad to see someone doing that much hardwork just for students like us! Thank you so much help me alot I am gonna love this session! Keep it up brother!"
Farhan Bajwa,https://yt3.ggpht.com/ytc/AGIKgqO30pi_LHRc4KxNXSokw6MfyZ1hP1D_vAFWX59T=s48-c-k-c0x00ffffff-no-rj,2 years ago,7,"After Rejection From ArbiSoft Interview to Ace the Amazon and Google Interview, This journey was quite amazing and motivating."
Shahood Sajid,,2 years ago,2,You are such an inspiration for undergrads like us ️ keep shining
Wasiullah Khan,,2 years ago,2,"Awesome interview man, really opened up my mind on a lot of things!"
Saad Rajpoot,,2 years ago,2,"That's a Great video, Ehmad Bhai ! ️
You are surely getting your 'Jazaa' for this from ALLAH Pak ️"
Muhammad Zain Abbas Baloch,,1 year ago,2,I thought there are no such channels in Pakistan but surprised to see your channel. U R doing great job. Keep it up.
That was Mystic,,2 years ago,0,sir i have a question from you and i want you to include this question in your interviews.i have done my fsc pre-medical back in 2019 but unfortunately i didn't get admission in any medical college.than i repeated MDCAT again this year but unfortunately i have no chance to get into any med school even though i have 90% marks in fsc.now i want to do software engineering or computer science as pre-med are allowed to get admission in any computing programme and also i have great interest in computer science.is it right to do SE or CS after fsc pre-medical?? and i also want to ask either i should do CS or SE because i'm very confused.hope you will guide me..
Aliyan Ahmed,,2 years ago,2,"Another great bucket of knowledge!
Keep going bhai"
Hamza Aamir,,2 years ago,0,"Sir Aoa, with due respect I wanted to ask that if I could build my FYP based on web development. Although in Uni they haven't taught about web development. I am learning web development by myself."
Fahad Amin,,1 year ago,0,Really a humble inspirational personalities.
Najam Ul hassan,,2 years ago,0,Ehmad bhai you just rock it Ma Sha Allah ️another insightful video
Muhammad Shahriyar Abid,,2 years ago (edited),2,This is really informative at all Ehmad bro. Can you please interview of someone QA expert person?
Abu Ubaida,,2 years ago,1,"Sir, Thank you so much, it was tremendous episode."
Muneeb Ahmad,,2 years ago,1,Quite a similar academic story as mine also tried for PAF till 4th semester. CS student from FAST!
MR Mack,,2 years ago,1,"As a second year CS student, is it a good way to apply to different companies ( including Arbisoft ) not for money but for work experience in this summer. Will companies accept it and should I email them ?"
Abuzar Barki,https://yt3.ggpht.com/ytc/AGIKgqMqFiusDulp_EEaHtQCVJmkpipXxSqpf9gLb3R8=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,Thanks alot to both of u guys having awesome conversation that opens up mind of under graduation students ..
Adeen Ahmad Zia,https://yt3.ggpht.com/ytc/AGIKgqMnCvskKzCH3lsAsFh-fD20kZj3U2Ztr765J7gPyw=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Sir u r an inspiration for me. Plzz keep up your good work
Ahsan Saleem,https://yt3.ggpht.com/ytc/AGIKgqPBkArJD5nB4jvolk9n3lR9a4Fxqeum-IjfNQ=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,thank so much Ehmad sir also Muneeb sir for such a great conversation. #saveAndgrabAllgoldenTips
Adnan Ali,https://yt3.ggpht.com/ytc/AGIKgqNBMyhv05p7ezEuNi4MAER7V-K1nkdEhE5Xk0cD_w=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Sir please make a detailed podcast on how to get in Fanng company and how to prepare for that.
Syed Faateh Sultan Kazmi,https://yt3.ggpht.com/ytc/AGIKgqPJxq-LuIXK2kgQOEY1Ma98jyYx6JhGzS-Z9C-VUuk=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Thanks for another inspirational video
Fahad Azeem,https://yt3.ggpht.com/ytc/AGIKgqMUQJWivxnG_l_FcWX1fesupl9myJvBZoNvuvhJtA=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,How to identify a good team lead?
Uzair memon,https://yt3.ggpht.com/ytc/AGIKgqNfkdLc3fwF7oXNLMlVyEJH9dz67yroZQk19-ht=s48-c-k-c0x00ffffff-no-rj,2 years ago,3,"My Que are
1 what is difference between Frontend and back end
2 i am currently in entre some advices for me?
3 i want to do bscs from fast karachi so is it worth it?
4 how should i know if am good at programming or in cs???
Please answere my queries!"
Tooba Inamullah,https://yt3.ggpht.com/ytc/AGIKgqMoIIlQqNPWm7UZXqXwmCFr1ehmAv6KJ6L2IA=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Keep up the good work brother
Zain Zain,,1 year ago,0,What about JavaScript as a backend language
ABDULLAH Saif,,2 years ago,0,"what a beautiful hour, I spent :)"
Muhammad Zain Abbas Baloch,,1 year ago,1,Your work is very good! Keep it up!
Ahmad_Waheed,,2 years ago,0,Very helpful Ehmad Bahi. Allah ap ko salamt rakhy.
Malik Bilal,,2 years ago,0,"Thanks for this advance career guide. I also want to know about Best Book for clearing deeply concept's about ""Data Structure and Algorithm"". kindly suggest me."
Usama Baig,,2 years ago,0,Gonna be very helpful.
Shoaib Goraya,,1 year ago,0,Bro u r doing great work and very nice guest this time
Ibrahim Abid,,2 years ago,0,"Ehmad bhaaaaaaaaaaaaaaai  Live Q n A me mera question takreeban 4 se 5 comments k bad tha. But np ab bhi ab thak gaye hon ge. likin ap free ho kar iska answer bata dein.
​Which degree should I choose SE or CS w.r.t to job in Pakistan or any Foreign country? And is there any difference b/w  job of both departments? "
