User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Adnan Shoukat,https://yt3.ggpht.com/ytc/AGIKgqMof8k2_BRWtd2yUMsQyPiwFfV4u8nl5kqGdZmk6A=s48-c-k-c0x00ffffff-no-rj,1 year ago,3,Bro can you bring more people like this to your podcast.
Glomestone,https://yt3.ggpht.com/ytc/AGIKgqMdrcrtWlJv6V8bd_6IHwOzM2F7uIbaZrupmzy8=s48-c-k-c0x00ffffff-no-rj,1 year ago,3,Great video Ehmad! Loved the little bit of sense of humor in the middle. Keep up the good work!
Ibrahim Abid,https://yt3.ggpht.com/ytc/AGIKgqOPGeWFF4A3JqxGJuiXBc3XNo3c8qfbhzqwR53GlA=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,Ehmad Bhai please also interview someone who belongs to the AI department (Artificial Intelligence).
Muhammad Saad Qasim,https://yt3.ggpht.com/ytc/AGIKgqO0a1TIeXjcDHk67cz6EufoPNbDlwP8jrrvdj6dBA=s48-c-k-c0x00ffffff-no-rj,1 year ago,3,"Hello Sir, Can you make a video about the difference between Software Engineering and BSCS in complete Details. It would be really helpful if you can, In 15 days going to University for software engineering ,still have confusion between software engineering and BSCS. Help via Reply would be appreciated. Thanks!."
Farhan Khan,,1 year ago,1,Amazing Masha Allah keep up the good work️
Ali Jamshed,,1 year ago,3,"Only 827 views so far, this should have been viewed 827K times. Great Content."
Mohammad Talha,,1 year ago,2,"Came to your channel after watching your podcast on Muzammil's channel, deffo doing good work!!"
Ahsan Farooq,,1 year ago,1,A.o.A ! Sir apny 2nd video mn it support or networking ka kha tha ..can you make a dedicated video on networking career and jobs etc please ??
Salman Ahmed Khan,,1 year ago,2,Very much informative video and great channel. Love you bro 
A I.,,1 year ago,1,Emad is if possible to get a video on how to create a resume for internship?
For You #shorts,,6 months ago,0,"Thank you, sir, I am planning to go to Germany & this was really helpful information for me."
Comment-Bot,,1 year ago,2,"This is very informative.
I have a question sir,
I am 40, working as a transcriptionist in KSA.
I want to learn programming language and move from here. Kindly guide me a path, or a string to follow helping me in switching my career at this age. Which language i should start learning that can help me achieve my objective in a year's time?
Thank you."
Chouaib Benali,,1 year ago,1,"No offense but i have a hard time to understand this gentleman speaking,is there anyway to have a subtitle in English to follow him along ? i'm really interested about this kind of content to be fair"
Muhammad Husnain,,7 months ago,0,loving your podcasts bro!
Muhammad Usman Akram,,11 months ago,0,Which tech stack should we learn??
Muhammad Safi Ullah,,8 months ago,0,Very informative!
Kashan Ali,https://yt3.ggpht.com/ECzTXQo1700UQ6slyIId6M62V1A-pz-lyvm5dtuN9R3CcGVq1FZMIdXF0VhBKeTtdViIJqz1=s48-c-k-c0x00ffffff-no-rj,1 year ago,2,"I am 1st year student of software engineering 
Please prefer me courses according to my field and year.
Thanks in advance ️"
Ayesha Fatima,https://yt3.ggpht.com/ytc/AGIKgqPu4hBFj3UQzgLYck5FFg927u-GEixiir4NoA=s48-c-k-c0x00ffffff-no-rj,1 year ago,3,Great content. Can u make a video on multinational companies currently working in Pakistan. I'm from Kashmir & I searched about it  but couldn't get information & don't have enough knowledge and access to multinational companies
Ramsha Aijaz,https://yt3.ggpht.com/ytc/AGIKgqPPZsHnJMds9cR0CwYepKD35CbTHFuI9GjyheuVWw=s48-c-k-c0x00ffffff-no-rj,1 year ago,2,Great conversation
Hamza khan,https://yt3.ggpht.com/5Zv2yzpSHQnNcUkW1MihIYU5ITi_1I47EFLoYqFaKDc1Ll0dkkRU8mdVV5IBhiD76oCPbw1c=s48-c-k-c0x00ffffff-no-rj,1 year ago,3,"Very informative, please make video on how to improve communication skill and best way to sell yourself in an interview"
