User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Ehmad Zubair,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,8 months ago,0,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv
Hassan Sajjad,https://yt3.ggpht.com/I4gdX20b4ExuKnkJipK90PJfttjzHxELBTuGzBtSm5pA6TP6Kziy4b1ldGqfjCgikC-TOU2P=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,Excellent video showing some great effort done by you. Can you give interview tips as well???? As a fresher what things keep in mind while going for an interview...
Matt Murdock,https://yt3.ggpht.com/7pNDqUTSI8gazGJLMUIPydpo_0gXTS_KatgNG-msHpOKbG0-FC-sMIjHP0n_rcJvpaOsciWklw=s48-c-k-c0x00ffffff-no-rj,2 years ago,3,"You deserve more subs.... Really you cleared alot of things... Thank you.. and i want to ask you a question that what is internship, how do you get internship and what do you do in internship?"
Ehmad Zubair,,2 years ago,23,"If anybody gets a job from following the tips from this video, please let me know. It will make my day!"
Ali,,1 year ago,1,Thanks Brother Thank you for this great video.  Can you please tell what technology you use in web development projects like php or which framework? . I am using laravel with php . So make a detail video about it .
Malik Suleman,,7 months ago,0,I graduated in Physics in 2018. Now I have interest in coding. Make a video on this topic how people from non software engineering can join software houses with no prior experience.
Muiz Junaid Khan,,2 years ago,1,Really helpful! Appreciate the awesome work you are doing!
zub c,,2 years ago,4,Once again an excellent video befitting the great expectations that I keep associating with you. Keep up the good work!
Faiza zaheer,,1 year ago,2,Please talk about scope of software engineering abroad specially in US.
Zain Ali,,2 years ago,1,"Hey, what should a freshly graduated software engineer from NUST or FAST expect? And how much should one expect after around 4-5 years of experience?"
Abuzar Barki,,1 year ago (edited),1,"Assalam o alaikum Sir
How to do internships ... Where to do ... And what to do
Sir kindly can u make a detailed video about internships for S.E(BS Graduation) plz it would be very helpful .. thanks"
Ali Jutt,,1 year ago,1,Brother please can you tell me that what is the starting salary of a fresh graduate of BSCS ?
zara,,1 year ago,1,so I am a BSSE student and I want to do internships but I don't know how to find internships as a student and i have researched about it but still cannot find a video or a blog that can guide me about how i can get an internship as a student so if you can make a video about this that would be very helpful thanks
Nabeel Malik.,,2 years ago,1,"AOA! I'm in initial semesters of 
BsSe, but i wanna ask that, how to get internship, because for internship, degree is required, so how to do intership as a student of BsSe.?"
Struggling,,2 years ago,1,Great work ....Brother make a video on things a student should do while studying CS..I mean how to enhance your skills during your university years..
Watch and Enjoy104,,7 months ago (edited),0,Brother can you make a video about how to get internship or do projects with software companies as fyp and how to talk with then if you go physically and ask for internship or want to do project with them .
Sanaa Ullah,https://yt3.ggpht.com/ytc/AGIKgqPxEGlzFWKuutEzIEdl4fgMNas-G_5b9lS1u0r6XA=s48-c-k-c0x00ffffff-no-rj,2 years ago (edited),2,"Thank you sir, Sir I want to know that with university studies(BSSE) what skills we should learn that will aslo attract company also for internships"
Syed Faateh Sultan Kazmi,https://yt3.ggpht.com/ytc/AGIKgqPJxq-LuIXK2kgQOEY1Ma98jyYx6JhGzS-Z9C-VUuk=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,I'm trying to follow the useful tips from your videos. Jazak'Allah khair brother
Global Talk,https://yt3.ggpht.com/ytc/AGIKgqOVt6vKwP9spgqj3H3nCJjznO6Pm6VgxXqjd3Ol=s48-c-k-c0x00ffffff-no-rj,2 years ago,4,"Assalam o alaikum.i just got admission in software engineering in IUB, I also wanna to earn some money for my expenses with studies , please guide"
Learning with Kabeer Akbar,https://yt3.ggpht.com/AUst8bsy__S08Tjt3ju18uWVw53czjVpyBxlWbqc3B8Pt7hzE_cBXKVgMxWtxX8uf6f4ChlgrA=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,"Sir which type of IT certifications  are best for jobs, having handsome package"
ASIF JALAL ACADEMY,https://yt3.ggpht.com/ytc/AGIKgqN1s_vRLIJrbwffiTDtnMtVQcOOnxCejDUvmaw7=s48-c-k-c0x00ffffff-no-rj,3 months ago,0,I got internship after 3 years of graduation. I just shoked to listen you got in 2nd year.
Usama Aslam,https://yt3.ggpht.com/OBgEn7itR7hYu1BxQBht4c0eDRTgTDIW6ukViQfVNButXIDUmeZJQ0N7tDqYGNet-O4aigIXvcc=s48-c-k-c0x00ffffff-no-rj,1 year ago,2,Doing great work. Keep it up bro 
Avoid complexity,https://yt3.ggpht.com/ytc/AGIKgqM5lFQj7fLGd39wW6cM_SF1L9W2Y2hdcITZUg=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,"No dislikes 
That's amazing!"
MARTIN,https://yt3.ggpht.com/ytc/AGIKgqPu9DQIfwv7T1D5u-EguHzPPiRnoJaeRw84jdcLXA=s48-c-k-c0x00ffffff-no-rj,2 years ago,6,This a best video i have come accross in the recent time. thank you.
Owais Mumtaz,https://yt3.ggpht.com/ytc/AGIKgqM4GWXAJpAHCdHL-zRKHTABzemkMzwresLNDw=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,They all need 1 to 2 years of experience from fresh graduate even for internships.
Wajahat Ali,,2 years ago,0,Bhai I want to become a software engineer but I am suffering with keretoconus (an eye disease) so I want to ask you that hmain screen pay kitna time daina parta hai as an engineer or kia ap ki health effect hoti hai?
chatgpt,,2 years ago,1,Thanks for the video. It was very informative
Mohsin Ali Irfan,,1 year ago,2,"Indeed it is a very very helpful video sir, really appreciated"
Abdullah Gujjar,,11 days ago,0,Ehmad Zubair Sir You are a life saviour 
Faiq ahmed,,1 year ago,0,"hi sir !
i want to know about computer engineering and its jobs in pakistan"
Shah Zaman Rai,,2 years ago,0,"Sir,
     I had mailed you to make a video on the Internship. When will u make it?"
Taha Naveed,,2 years ago,0,Can a current undergrad student get an internship?
taha ali,,2 years ago,4,"Asalam o alaikum 
Sir tell me  one thing how to choose my career  .. Im so confuse to make career in programming  i don't know which  is better to me. Android development or software development. Oracle development... Or web.. Im doing work in web development but i realise  in web development there is no scope any more i think. I can able to learn and understanding programing very well but tell me one programing line. I will focus on it i have done bscs from virtual university .. I live in karachi. ..
Thanks you"
ᴀʜᴍᴀᴅ ᴊᴀᴛᴛ,,8 months ago,0,How to get off campus internship during study plz inform if you have any idea about it....
MAKKAH PAK MADINA PAK,,2 years ago,0,Kindly arrange interview with Asp.net core developer
zakria bacha,,1 year ago,2,"Ahmad Zubair!! brother, please tell me I am very confused about what to do. I have done freelancing on Fiverr for 1 year. I have learned C, C++, Java, and python. I have also knowledge about Flutter and react native framework. But did not know how I will choose a place for an internship. I mean I did not know how much knowledge about each technology they require. Also about my resume, because I have learned most technology from youtube."
WOLF SPY,https://yt3.ggpht.com/ytc/AGIKgqOb9s1TzDG3TQisVaIS562XzdZuWUjYKhUTUuz4Ug=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,"Brother mera aik saal hu gya software engineering main from Szabist islamabad..kia main abi se internship kar sakta hun islamabad main studies k sath ,mujy javascript b ati hai inshallah ,kia khayal hai apka abi se shuru karna chaye ?"
Yaseen Khan,https://yt3.ggpht.com/ytc/AGIKgqOgXiufp92ZVxkn8b5urK4RUGPKr9Kigwa5Me0x9gkUgo-DVaiKqzjjWV8JhLa8=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,sir plz tell this me about software company without degree hiring  job possible
Shagufta Khanum,https://yt3.ggpht.com/ytc/AGIKgqPeD-cDbx3Mb-SWyuJBaGWcSjRcFJulrU1TgOEI=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,"I WANT TO GROW IN MY CAREER BUT FIND NO OPPPORTUNITY,PLZ GUIDE ME"
Qari Sagheer,https://yt3.ggpht.com/ytc/AGIKgqNbGC1EuU3WnSsQl2gbbwWysIsflNnlQoV7E675NvvmUZ3boO8YIYpn-NWZk9l3=s48-c-k-c0x00ffffff-no-rj,1 month ago,0,Kia virtual university ki degree ka scope hota hai job ka liya
SARAH,https://yt3.ggpht.com/ytc/AGIKgqMkIuDX_5Ac20TXs0ByEENy8huyykku7P-WpE-QznQ=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Hello! Actually mera interest coding and programming me boht h or theories wagera me ni h itna. Me ny field bhi esi choose krni h jisme agay jobs me teaching ya research type jobs na hoon bal k programmer ya developer type jobs hon. To konsi field behtr hogi mery liye CS ya software Engineering? Because me logon k comments sy boht confuse hun. Some say k CS kr k developer ni bn skty kuch kehty hn bn skty hn so Please guide me about this and clear my confusion 
H M,https://yt3.ggpht.com/ytc/AGIKgqMFymkFxML7pTxwE5bcZtDDkxBPXNCo4zMqzQ=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Sir internship  ke liye kese apply karein
Najam Ul hassan,https://yt3.ggpht.com/ytc/AGIKgqP3GgueYXBR9GQpNPteoeGVLjAtjX1tjg5ddBDT=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,waiting for your videos sir ap time niakal kr bana diye kry video bohat helpfull hoti ha apki videos
hira rani,https://yt3.ggpht.com/ytc/AGIKgqOmE0of1nFUGnxyWynTeO60E_Tmzxd2bFa2lA=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,I am fresh graduate and i have not done any internships
Taimoor Cheema,,1 year ago,0,How to crack HR interview
Moeez Ahmad,,2 years ago,0,love u man!........one of the best channel i hve ever viewed.
Shadab Perveen,,1 year ago,0,AoA Bhai Currently I Am Studying BS Software Engineering 4th Semester And Want To Build Skills How Is This Possible I Don't Know Can You Tell me please
waao @,,1 year ago,1,"Sir main ub..bscs , bsSE, ya engineering main admission lun uni main ??? Sir kia krun main....?????"
Muhammad Ahmad,,1 year ago,0,?Yar ik cheez or bhi batain kay ik github profile hona kitna important hay?
Ali Mughees,,1 year ago,1,I'm in my final semester of BSIT and haven't done any internship yet. What should I do to get a job?
Shah Arbaz,,10 months ago,0,Please make a video on seo
Abdullah Azeem,,2 years ago,1,Really informative video for me. Thank You
Isra khan,,2 years ago,0,Informative video
The creative channel,,2 years ago,0,nice job
Abdul Hameed Khan,,2 years ago,1,Excellent... Please make a video on web development career
Mayra Nadeem,https://yt3.ggpht.com/ytc/AGIKgqO4N1JosMhvoxiqkMe59bT2M9lwSmE_PejA0t3oUifN0-rFD6HU5shVE_Hvppyf=s48-c-k-c0x00ffffff-no-rj,9 months ago,0,Best content
F M,https://yt3.ggpht.com/ytc/AGIKgqMwWLNvGalXMiuArhC0UTdJ0UPIrnNWV789zA=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,
Fascination Top,https://yt3.ggpht.com/ytc/AGIKgqPnDgGRl2HpUbg66eV9WzE0U748KcRp93Hg-9k=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,brother ap comsats sahiwal sy prhy ho?
Waqad Arshad,https://yt3.ggpht.com/ytc/AGIKgqMB2L2Vv5XJeOE3h41bYKUnKHdq5lV5mO13oIGKkw=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,THanks a lot!
cricket updates with mosh,https://yt3.ggpht.com/6LGcM49j2IXkYtOoKRsphQYqtWAFyLP87iYjJy_A52s6ZUGTS-NxDr8_WgwXr99AShCgk47O=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Assalam u allikum bhai
memes 3idiots,https://yt3.ggpht.com/ytc/AGIKgqMabAyXzxnNtYrbasjPegLlDT_S2wdcb6-_mFJSZA=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,bhai plz ucp se bsse karlo toh job me problem toh nahi ho gi agar job out of country karni ho tab plz guide me 
Syed Abdullah,https://yt3.ggpht.com/ytc/AGIKgqNSSLultQL8C4D0X7OPVi8GGxWLxyEndQop08SNnQ=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Good video.
Status World786,https://yt3.ggpht.com/ytc/AGIKgqOQ7tKY9WzqRaXSiRo9vyeYGvueVaNmDyewt_s3=s48-c-k-c0x00ffffff-no-rj,2 years ago (edited),2,"Sir jo ap ne linkedin k bare me btaya last me ....sirf top universities k log waha pr show ho rhe hain..baqi universities wlee eg, ucp,umt ,uol wgera k ku nhi consider kye jatee..plz rply me"
saleemdummar,https://yt3.ggpht.com/ytc/AGIKgqPXaHU-rjedGq6A86OWlLu6Y-hRPrfZy6Kp_pFZRg=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,As a software engineer I reject you
Umair Saleem,,2 years ago,0,"Sir will wordpress kill web development by coding in future?
Plz reply Sir"
Mirza Ahmad,,6 months ago,0,Thank you.
Fasih,,1 year ago,0,Thanks bhi
Abu Ubaida,,2 years ago,0,Thank you so informative
Abdul Haseeb,,2 years ago,0,
UA series 901,,2 years ago,0,Sir️ best explanation
Shahab Hussain,,1 year ago,0,"Mere pas diploma ha software engineering ke keya me job Kelly Appley karsakta ho best company me.
Please reply me."
Kashif Khan,,2 years ago,1,Thanks Alot Bro
Arslan Ahmed,,1 year ago,0,Amazing Video
Saddam Afzal,,2 years ago,0,Sir ma interships ksa dhondha skta hon ... In multan.. any tips
Affaq Khan,,2 years ago,0,Sir comsats University kesi software engineering ka hawaley sa
Awais Saleem,https://yt3.ggpht.com/ytc/AGIKgqMWyjcIPr9kjrIdU9PDATUNWxo7aVMe4nHu8qdCiw=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Bro 
Cloud Sensei,https://yt3.ggpht.com/jeKcmz0I2B0wkW-7P1RqBDQjTLmWFwSFqDI9AmTylgKCcISdwjnqhh-1gtrh19ztAk-vmyz60eM=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,How to apply for internship s
Haseeb Nawaz,https://yt3.ggpht.com/ytc/AGIKgqNknw4VnTsYSA8UZZIJySUVyZt5guHrNaP1xQ=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Bro language kn c chose krain
