User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Saad Ahmed,https://yt3.ggpht.com/ytc/AGIKgqOnFGgyNSvHsBt_jJq2jc12iTq8fjvsRayM9hJzcg=s48-c-k-c0x00ffffff-no-rj,1 year ago (edited),3,"Hi, great video as it provides a good insight into hiring culture of SWE/IT related jobs in Pakistan. I am a 1st semester student at ITU Lahore. What advice would you give to someone who started their CS journey before joining university and are currently ahead of their classmates? I think I have gotten my fundamentals right along with some OOP, I think I only need to polish my understanding and practice concepts like inheritance and polymorphism now. With that, I also love to watch random computerphile or any other good CS related video when I am free so I think I have a decent idea of what's to come. What advice would you have for me if my end goal is to land a good tech job abroad? Should I continue to stay a bit ahead or should I just go with the flow? Note that I don't plan on learning any framework or anything like that until I get my data structures right. Thanks "
Aafaq Ahmed,https://yt3.ggpht.com/ytc/AGIKgqPVTf-tiqZIK4lkNxSImewyDbBvYiU4thIMDor1ow=s48-c-k-c0x00ffffff-no-rj,8 months ago,0,"Hi, First of all I would like to acknowledge that video was really good. I am 6th semester student of BSCS but I also have 2+ year of experience in developing iOS app with swift. Should I consider joining as a Junior iOS dev? Should my expectations be same as fresh graduate? I got diverse experience while doing freelancing. 

Also one more question, should I bring my laptop on interview?"
Ali Ahmed Khan,,1 year ago,0,"Ehmad bhai the work you are doing is making the path clear for all the CS Undergrads. Thank You! Ehmad bhai please help me wih one confusion, should I focus on making myself confident with concepts of DSA, OOP, DB or should I learn stuff like web development, android or ios ... like I know both holds importance but as an undergrad in my third year what should I focus more on.? please make a video on this many of my colleagues are confused"
Sultan Muammad,https://yt3.ggpht.com/ytc/AGIKgqO5pD_PYD6e1PbOiJyWHYVbjPLa_1vQSAXmA6NRvluYt-3ABI7HwhUpCRNg22j4=s48-c-k-c0x00ffffff-no-rj,1 year ago,3,"For the first time in my life, i'm thankful toYoutube for showing me your channel.
Its my last year in software Engineering and i have made up my mind to master atleast one domain before im graduated. 
But i'm so confused about what to do, which domain to pick. 
But now i believe i would be able to get my answers, thanks to this channel."
Farid Ullah,https://yt3.ggpht.com/ytc/AGIKgqNMRLk6kc4Ghs9G0QbMj_oJ7fOAIq48oWAABUHOpw=s48-c-k-c0x00ffffff-no-rj,1 year ago (edited),0,"Sir, 
Do you think getting a coursera certificate will give me a little advantage in the interviews or its fine to just have a skill without any certificate?"
Muhammad Zain Abbas Baloch,https://yt3.ggpht.com/ytc/AGIKgqMLZ5mb5u5bTSg3E2UdVaSDswkXvWDzw1NQGsm5m9I=s48-c-k-c0x00ffffff-no-rj,1 year ago,2,"Plz, make videos on complete roadmaps for becoming self-taught Web developer, app developer, data scientist, AI expert and game developers THROUGH INTERNET RESOURCES. 

Your work is great ️. Keep it up ️🇵🇰"
Muhammad Usman Akram,https://yt3.ggpht.com/ytc/AGIKgqOK4cZ1N8eWx6Jo3VRlHEgSEbGYzph_BlHIIQ=s48-c-k-c0x00ffffff-no-rj,6 months ago,0,"Hi Ehmad, how are you doing? I'm working as shopify dev for past 1 year and previously worked as WP dev. My problem is I almost forget all of these things and now very demotivated that how will I learn these things again. I tried many times to learn new things or grab these concepts again but nothing is helping me. I love development. It gives me confidence. But now I don't know what to do."
A I.,https://yt3.ggpht.com/HRwx2HMgrydzIoJKWUU4fAf69WXq51t9ca059rXvSjGT5KteMCPYFlenvbRMu75RDONtiNBV0Q=s48-c-k-c0x00ffffff-no-rj,1 year ago (edited),0,"Great video Emaad, can you please upload a resume of you or your friend when you were fresh graduate? Just need what things to add to."
This is Sami,https://yt3.ggpht.com/kkWeJXorjit1QCmKxU7ULt4QfWY5xpSspW_5n9A5xUYPVry4ewT9bxnwkuqfMpS5Ch8M5Axi3jg=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,"I will graduate this year InshAllah from Iqra University, Karachi.
I love your Videos, they are so helpful for a Cs/Se/ IT students, I always recommend your videos."
Zohaib Zahid Malik,https://yt3.ggpht.com/ytc/AGIKgqOTqgSGNWoVViur0pOwNnvv-M2S0lXuRY19Cbbm=s48-c-k-c0x00ffffff-no-rj,1 year ago,2,Very very informative especially for beginners like me. Stay blessed
Salman Ali,https://yt3.ggpht.com/ytc/AGIKgqPuV5sDFViZjEJgCASk_iStfjIblufZ38qv8trM3mA=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,"Hi, This one is really a great asset for the freshers.
Thank you for your efforts."
Rizz Rullzz,,1 year ago,1,Our brother back with another masterpeice️️
Ahmad Bin Abdul Jabbar,,1 year ago,0,"Ehmad bhai coursera pe konsa course acha hy data structures ka? 
You have mentioned it in the list!"
Muhammad Shahbaz,,1 year ago,0,"I will graduate this year InshAllah from Lahore Leads University
I love your Videos, they are so helpful for a CS/SE/ IT students, I always recommend your videos."
Abdul Haseeb,,11 months ago,0,Should Domain specialists do all of this stuff after spending their time in specific domain? Plz answer this
Umer Naeem,,1 year ago,3,I am in 2nd semester. Just started learning Data structures and Algorithm and I am able to solve most medium level questions.
