User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Uzair Ahmad,https://yt3.ggpht.com/ytc/AGIKgqPhAq_3_SOQbGgVZHF9vD9YQi6kfDQnG9cH_tekIg=s48-c-k-c0x00ffffff-no-rj,2 years ago,12,"Sir, you are the first Pakistani who is sharing the job life and personal experiences of software engineering. 
Your videos are really helpful for students and freshers. Keep it up. Thanks for your struggle."
Ali,https://yt3.ggpht.com/ytc/AGIKgqO6TBMzIfaqAp29YBvKYyUdQK4TtDIETKhwgBch4nw=s48-c-k-c0x00ffffff-no-rj,2 years ago,2,"Great videos honestly, what are salaries of cs/se grads in 4-5 years ?"
Shahood Sajid,https://yt3.ggpht.com/ytc/AGIKgqMBeKH_Bq9UthwejLpb2lD29a8cW8hdjcOP0GZI-w=s48-c-k-c0x00ffffff-no-rj,2 years ago,3,"Discovered your channel and I am impressed with your content. Being 2nd year student of BSCS , this channel  produces the right content to enhance my capabilities. Thank You"
Islah Shahab,,2 years ago,0,Thank you so much for your advice it's really amazing to see the people like you who have achieved something in there life's and guiding the young lott.
Muneeb Ahmad,,2 years ago,0,"Mostly, Fastians are not comfortable with front-end as they do programming their whole time at FAST. :p Great Content Ahmad bhai!"
MR Mack,,2 years ago,1,Can you make a detailed video on salaries for software developers for freshies and experience in pakistan?  This is a very hot topic.
Rooh e Uqaab,,2 years ago,1,YahYa LOokiNg like a GOod GenTelmeN
Abdul Rehman Rais,,2 years ago,0,Agr bndy ky pas khud skills aur kuch knowledge ho aur Virtual university sy CS ke degree kry to koi value hoge degree ke market mai???
Tuaha Tayyab,,2 years ago,0,Nice video ehmad bhai.
Numan Ghani,,2 years ago,0,Nice person 
muhammad talha,,2 years ago,0,
Usama Sajjad,,2 years ago,0,"Ehmad bhai,I'm looking for a non paid internship, I'm from Gujranwala,Can you help me?? My interest is in Software Quality Assurance....."
Hammad Arif,https://yt3.ggpht.com/ytc/AGIKgqMwX_ZOV4L3VBNZ3TdnJGD7UU1P75Rw7BgiUw=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,"Or hum open source community ko kese join kr skte hai
You are my mentor
I learn many things from you
Jazakallah"
Literature And History,https://yt3.ggpht.com/ytc/AGIKgqMvepCN0Ofj7jJu_HRxbI5moFm7TBjcL3IWDRN4pA=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Bhai internship kaha se kre
Affaq Khan,https://yt3.ggpht.com/ytc/AGIKgqNZ82BNimGB8Ut_YoZhmsRur1jMCjH8t4TogyuH=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Ehmad Bhai plzz ye to batao ka inho na konsi University sa software engineering ki ha
Hammad Arif,https://yt3.ggpht.com/ytc/AGIKgqMwX_ZOV4L3VBNZ3TdnJGD7UU1P75Rw7BgiUw=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,Ehmad bhai inho ne open source community ka zikr kia wo kia cheez hoti hai
