User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Usama Aslam,https://yt3.ggpht.com/OBgEn7itR7hYu1BxQBht4c0eDRTgTDIW6ukViQfVNButXIDUmeZJQ0N7tDqYGNet-O4aigIXvcc=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,"Thank you, Zubair. You are doing a great job. I have no words to describe that how much informative your videos are. I am in the final year of my degree and thank God I am getting so much information about the industry from your videos. I have a question that how can I know the company I am going to join will have a good learning curve or mentors than other ones."
Hassan Sajjad,https://yt3.ggpht.com/I4gdX20b4ExuKnkJipK90PJfttjzHxELBTuGzBtSm5pA6TP6Kziy4b1ldGqfjCgikC-TOU2P=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,This is the kind of content we are looking for. Looking forward for more practical tips. Thanks
Captain Gaz,https://yt3.ggpht.com/ytc/AGIKgqMJLLIg9RCkEly2RkiSKNV-hGDqdOP6aFiz_w=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,"Loved it looking forward for the next one,  i think it would be great if you could get someone to discuss about blockchain and web3 stuff."
Abu Ubaida,https://yt3.ggpht.com/ytc/AGIKgqOJmx80Pz2nDJauCQpxNVjO6gvjxfzuHnU0IRbTQw=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"Sir, Congrats on your new company. May Allah give you success!"
ahmed mujtaba,,2 years ago,2,Brother make video for students who are in 1st and 2nd semester of university where they start their journey in CS I doing BSCS from average university in Lahore
Farhan Bajwa,,2 years ago,0,"Brother, please make a video for the student who are from government universities what we can do to get a job ."
MUHAMMAD ALI,,2 years ago,0,Waiting for this episode 
Muhammad Waqas Akhtar,,2 years ago,0,You are doing a great job man
Bilal Farooq,,2 years ago,0,Brother machine learning engineer or AI  ki internships pr bnaye video please
Najam Ul hassan,,2 years ago,0,waiting for 50k and many many congratulations for your company bhai
Ahmad Waheed,,2 years ago,0,A lot of wait for this new video.
Hashim Jawed,,2 years ago,1,"Assalam o Alaikum  Ehmad Bhai thank you so much for guiding us and sir I need your suggestion k i am in 7th semester so I need an idea for FYP part 1 so please help me or Uni ma humay kuch nh seekhaya gya or even k reactjs ma na shoq ma khodi online seekhi but ab uni ki jo supervisor hain humari unko koe aysi web chayee jis ma new feature ho but hum kaisa krain python humay nh parhaee even k sirf c++ and java bas to please give me an idea what do i do ? i am in BSSE 7th semester, or 8 semester k kuch students ka fyp rok dia bcz of us ma koe updation nh thi to mera friends ka khaina ha k ksi sa banwa lia jaay ab ap ye btaain fyp khod baanain ya banwaain?"
Faisal Jan,,1 year ago,0,Please make a video on internship
Abdul Waheed,,2 years ago,0,Good video Ehmad
Ben's Corner,,2 years ago,0,Very useful information️.
Omer maLik,https://yt3.ggpht.com/ytc/AGIKgqPssDA-GyQXawzc914jfviEP1JiZ11KEAlp=s48-c-k-c0x00ffffff-no-rj,2 years ago,2,Can u share experience of web developer??
Camper School,https://yt3.ggpht.com/iGEe7h0OjR5-ahLOIh9UptnokX36beQcw7BwRbot8XllT7Qvy7iCEuPr9rKWVmaVIwGVq8YsDQ=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"It's so frustrating to watch .
Why you're putting so much ads??"
Ahmad Waheed,https://yt3.ggpht.com/ytc/AGIKgqN2m8GmFg33DyF4GZKPVlSKpaf4g--YsTb-9Pd0=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,First view Alhamdulillah
Abdul Waheed,https://yt3.ggpht.com/ytc/AGIKgqOGS38Q86VCUEz_UhcXKDtbgX-a2Gmx1VVyVQ=s48-c-k-c0x00ffffff-no-rj,2 years ago,2,ختم نبوت زندہ باد
