User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Ehmad Zubair,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,8 months ago,1,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv
Learning Solutions,https://yt3.ggpht.com/ytc/AGIKgqO4n28HhKgub2O8bQaOUoK70AYbKdfO05x6asTrPw=s48-c-k-c0x00ffffff-no-rj,2 years ago,68,"Finally, we found someone in Pakistan to guide us, otherwise, we were still watching  Indian software  Engineers"
Souhaib,https://yt3.ggpht.com/H1sJpyhm_rfl7gmyhvQiFrG1Xf8QvieSGinuw_A5PBvqDJ68xuRBnUWz5Cb3MBWvlS6I5O0W=s48-c-k-c0x00ffffff-no-rj,1 year ago,8,Glad to see Software Engineering career counselor in our country  great job sir Ehmad keep it up 
Mr Professor,,2 years ago,11,"Dont know from how long i was waiting to know opinions of our seniors so that we could learn from their experience. Your full channel is truly giving value for young software engineers. This is a great help literally for us and we are glad that we found your channel ️ 
Lots of love from a Cs student. I'll definitely work on your patterns."
Abubakar Munir,,1 year ago,7,I wish this was uploaded when I was in my first semester. Such an amazing road map Ehmad bhai
Murad ul Hassan,,2 years ago,5,"Great podcast!!! You guys were so candid️ Aisa lag Raha tha Kay 2 baare Bhai guide Kar rahe hoon. I am freshman at NUST, so I am gonna follow your awsome advices till the end.
Looking forward to more of these amazing podcasts "
Farhana Fatima,,1 year ago,0,"Great advice, Ehmad. I agree with all of it. Sometimes I feel like I didn't even go to uni. There are unlimited resources available online and I think students should explore them. Being a programmer is all about curiosity and creativity."
Ahsan Abdur Rehman,,1 year ago,0,Loved the video. Do let us know how to get exposed to technologies. Not basic knowledge but a bit deeper and more professional. Maybe open source projects could help. What would you suggest with regards to open source?
Sharjeel Shahzad,,1 year ago,1,"Regretting for wasting my last 7 semesters... But till glad to see this channel that I can get the best advice here ️ 
Jazak Allah Kahairan Kaseeran Kaseera"
Naqash Younas,,1 year ago,1,Thank you for sharing your experience and thoughts about how we need to learn throughout the university so all the best 
NUTECH Student Communities Official,,1 year ago,0,"Dear Elder brother, I think doing online courses related to degree, attend online internship or events and participates in competitions of technology. (In 3rd Year road map) you can add these things."
Yousra Zaheer,,2 years ago,4,I appreciate this content it gives me motivation to even go further thanks a-lot for your time 
Ahmed Saeed,,1 year ago (edited),0,Would you please explain what will be the roadmap for commerce I.com students to get into CS/IT/SE? Universities facilitate Pre-med students and they can apply for all of them by taking extra credit hours in the uni for mathematics. But they do not have such a facility for commerce students? It feels kinda unfair to me :(
Haris Chandio,,9 months ago (edited),0,"what was your final year project, zubair sir? and is it okay to do FYP solo?"
Arsalan Virk,,2 years ago,0,Thank you Ehmad Bhai. I read somewhere that in near future artificial intelligence and machine learning based software would make it difficult to get jobs and saturate the jobs market. Your words on this. 
Emad Ud din,,2 years ago,0,"Assalamu alikum bhai jaan thank you soo much for your advices and suggestions, especially for hacker rank.
I will share this video with all my batch mates inshaAllah.
May Allah help you in your problems just like help us and give you success good health Ameen "
Abdullah Maqsood,https://yt3.ggpht.com/ytc/AGIKgqPWKtpUJfZ-Jo-pOPdhNDp8_FQPKRJEmIvccA-3Md0=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,"ehmad bhai I am a student of Fsc pre engineering that lasted from 2019-2021 (The corona years) and due to constant lockdowns we couldn’t study to our full potential resulting in low grades (56%), now I have two choices 
1) get admission in UMT (university of management and technology ) Lahore for Software engineering
2) repeat Fsc for 2 years and study harder for fast or comsats 
i see you as my Barra bhai, I am very stressed, Your opinion would matter alot"
Syed Abdullah,https://yt3.ggpht.com/ytc/AGIKgqNSSLultQL8C4D0X7OPVi8GGxWLxyEndQop08SNnQ=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Good to see such videos. Expecting more in the coming time.
Taha Soomro,https://yt3.ggpht.com/ytc/AGIKgqP7HHGhxJJvkkR_D8d-hjToSExJZOmVMkGTdw=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,bhai can there be a video about managing social life as well. not that ur doing less and not that u need to hold our hands . but just an insight to how social life was and can be .
Naveed Amjad,https://yt3.ggpht.com/ytc/AGIKgqON4JmLRy3zQivh5y6pNWN-AhQj12ZVhsugDA=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,"Thank you for this very informative episode, please record an episode on how to become a full stack developer"
Nabeel Ahmed,https://yt3.ggpht.com/ytc/AGIKgqNcCO5ZNAnu4pppezCbnao6bAmTM8MrVTwrpDF__w=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,I'm a 1st semester student and this video is completely gem for me thank you ehmad bhai
Food Panda,https://yt3.ggpht.com/ytc/AGIKgqPQrcl0PmwVj8mekoIM25wQq91bB7tRJwz_X9VgyRwda7npBfskn8z7xZYU9g1T=s48-c-k-c0x00ffffff-no-rj,8 months ago,0,One suggestion: It would have been really nice if you gave a bulleted list in the description or at the end of the video.
