User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Hadi Ali,https://yt3.ggpht.com/ytc/AGIKgqPEbLIfPngRo75eWhMTfzbfXryLmG76M-xAUihP=s48-c-k-c0x00ffffff-no-rj,1 year ago,5,"we love the show .
continue doing this great job.
Do invite a data scientist, ML engineer, AI Engineer, Cloud Engineer. One by one."
sahyba siraj,https://yt3.ggpht.com/ytc/AGIKgqNFcphHWCLLqaeLuf66KQe_C2UIGoGM9xJz2xBCvEnNjottjACHYppasKWESgqz=s48-c-k-c0x00ffffff-no-rj,1 month ago,0,"I recently grauated in CS and was looking for non coding career paths, SQA being one of them. I didn/t know a word about SQA but this video was so lit. It is an all in one package for anyone who wants to become a QA. loved it"
Zarafat khan,https://yt3.ggpht.com/ytc/AGIKgqNhPgyTRuNLo_SRKKxzyjHpRrDttvBNO72BT5cyIw=s48-c-k-c0x00ffffff-no-rj,1 year ago (edited),0,"Bro please tell me being a beginner in software engineering what should be my road map to become a good software engineer
Like what are the things I need to learn
Please make a short video on it it's a question of many ..."
Jawad Ali,,1 year ago,0,"MashAllah Amazing podcast!
I'm regretting that why i don't i reach out to video early.
Every Second of the video is knowledgeable. Justice done with time. Worthy to watch.

Ehmad bagi please keep up good work. Your channel is amazing. I'm going to subscribe it after watching this video.
Good luck to you "
Ahsan Farooq,,1 year ago,0,"sir I'm at 4th sem then i want to join any soft company part  (Basic Qa , or networking ) time for experience how do you think ?? its early or right time ???"
Official Hunter,,1 year ago,1,Thanks Ahmed Bhai I have been waiting for this video for a long time. Stay blessed.
Hammad Zahid,,1 year ago,0,Please make a session for BSIT (Bachelor of Science in information technology)  students
Basit Khan,,1 year ago,0,"Hi, Ehmad bhai kindly programming and Web Developer ky liye bhi RoadMap btaye please. I`m stuck to dont known where to start and how much time i need to give programming"
meow72,,1 year ago,1,"Sir, I want to ask a quick question.
Is it possible to get into cybersecurity after getting a degree in software engineering and then work as a cybersecurity expert? I would appreciate a simple reply saying yes or no"
ahmed shaheer,,1 year ago,0,Do something about data science and data analytics.
Neya Komputer,,4 months ago,0,Thanks a lot brothers really really informative session .
Hamid Mehmood,,11 months ago (edited),0,Beautiful conversation brothers ️ lot of knowledge
Abdul Hamid,,1 year ago,2,That's great. Learn something new thing for you people.
Imtiaz Ali,,1 year ago,1,"Sir which city best for programming in Pakistan 
Karachi /Lahore /Islambad"
Problem,,1 year ago,0,Ehmad bhai please make video on Machine Learning Engineer Roadmap.
mfmh1.com.1M,,1 year ago,0,"AOA sir and all other friends 
sir, i am a student of fsc 2nd year 
sir ma na online hi wordpress and  html5 , css3 -""typing ms word ms exel "" - aur doosri languages seekhi hai liken ma pre engineering ka student ho ma aaga inshaallah software engineering ma jana chata ho mgr sir sb se bri problem ye ha ka jo mcat ya entry test hota ha nust ya uet waagara ma waha to computer ka lata hai jb k abi mare pre engineering computer ki jaga chemistry parta ho to sir us test ko pass krna ka liya kya krna ho ga please sir i need your help i am your great fan sir it is requested to you pleese reply me in comment session 
ta k mari ye problem khatm ho saka 
thanks for your precious time (reading and replying on comment"
Abdul Rehman,https://yt3.ggpht.com/ytc/AGIKgqOjOykgQEOBXOqW7-jgGAurUnKaVak0ljwR6mrBXak=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,very good knowledge but ak aur cheez salary bhi discuss kiya krain as you guys have concrete and comperative information more reliable
Hamad Bhatti,https://yt3.ggpht.com/ytc/AGIKgqOnaggKztYIb8pRIaTwQsORM43kKw1TCgv19VEqnxcWR1qf10EsLhVcNFkwtXv0=s48-c-k-c0x00ffffff-no-rj,6 months ago,0,Is programing lanuages required for SQA????
AsadAliCh,https://yt3.ggpht.com/ytc/AGIKgqO722L_bFI47P4QVQGgQQ-e0DbX-WgEl0aHtQaYO9uNaM7V0ObgZSGxvMbPI7l_=s48-c-k-c0x00ffffff-no-rj,1 year ago,3,Waiting for data science session
Bilal Khan,https://yt3.ggpht.com/ytc/AGIKgqP_64iaFwdWy1WurfSLLLpyndBfDQ8pfoCi6raI=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Where is the best institution in pakistan for data structure and algorithm training.
Huzaifa Subhani,https://yt3.ggpht.com/ytc/AGIKgqOcXkPbWRsh29LuDZni2Eyz2nZIxvPW7pl32w=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Is bharia university good for software engineering??
taha ali,https://yt3.ggpht.com/QsthBKL636E7CA1O1uywuZL9bPsdQ47HDyLRUK5orTnXB-E0cREsyvOdZbtvumohg1G-O2p8bA=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,"sir plz tell me one thing 
if someone become php developor 
or agar 4 sal ka experience ho agar php language ka scope khatam hojyee toh us ka experience wast hojyee ga 
ab wo dubara intern le ke start kery ga new language se"
Mir Ali Murtaza,https://yt3.ggpht.com/ytc/AGIKgqMu5UbH5Yg7-erVM8DfqCDYBtkn0KrDS0B3md2wRg=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Ehmad bhai please go for project managent too
Ashad qureshi,https://yt3.ggpht.com/gT6Ny1zQAh1DvGd-7xUJQ9MqOtU2VXnbXVojC-EzgNpe-aZk2U3Vek1q3ViqGFdqMmphwp-c-w=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,Please make a video on GSOC...
Nihal Aslam,https://yt3.ggpht.com/ytc/AGIKgqM3JEXTcjv2fIgu9sxbvKu6j33C98LggDuI5A=s48-c-k-c0x00ffffff-no-rj,1 year ago (edited),0,sir kindly bta den ke pieas ki computer science ki degree ki value hai market main? ku ke zada nust aur faast hi suni is bare main..agr pieas se ki to job milne main mushkil ayegi?
Ahsan Ullah,,11 months ago,0,Sir Manual Testing interview ma Programming questions hota h?
