User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Ehmad Zubair,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,8 months ago,2,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv
Anum Tayyab,https://yt3.ggpht.com/ytc/AGIKgqNdtXcJejnQkg1nwZZI69L9en_ZvIwpSjES5NR_iIQ=s48-c-k-c0x00ffffff-no-rj,2 years ago,30,"I think this show would be a great knowledge base for new comers.
I'll definitely recommend it to my younger brother."
Rafia Sajid,https://yt3.ggpht.com/ytc/AGIKgqOoSmfFBolWCuVOW-Hju6BJtijh4zP-rtRNfXdA=s48-c-k-c0x00ffffff-no-rj,2 years ago,48,glad to discover this channel  earlier in university life  while doing SE
Usman Y.,,2 years ago,8,Amazing initiative! Looking forward to the episodes.
Umar Usman,,2 years ago,24,Plz guide all the students in this field step by step from zero to end of software engineering
WAC,,2 years ago,4,"Ehmad, you are up to a great job!
Goodluck! "
Emad Tauseef,,2 years ago,5,Love the concept! Looking forward to it!
Rumaisah Munir,,2 years ago,5,Very eloquent. Looking forward to watching the show.
SERIOUS Information,,5 months ago,0,is there a different between programmer and softwere engineer ?
Yasir Munir,,1 year ago,0,WHICH IS THE BEST FIELD OF CS FOR MSCS AND PHD?????
Learn With Hadi,,1 year ago,0,Should I go for master degree after bs in computer science?
BahawalTV,,2 years ago,2,"When I started with programming, there were almost no resources like books etc., to learn programming."
Talha Shahzad,,2 years ago,1,Love this show
USMAN E GHANI Unknown,,8 months ago,0,after Fsc pre engineering I am planning for bs software engineering can you plz tell me about best way to gain skills with knowledge?
Shahzaib Rehman,,2 years ago,5,"My brother wants to be a software engineer.... Can you please tell which universities are best in Pakistan for SE, in ranking wise and can you please make a video for those students who want to be SE, like pros and cons of this field and salary... Job market etc.... Thank you "
Kamran Shan,,2 years ago,3,waiting for your upcoming sessions.
Young Colt,https://yt3.ggpht.com/raJnhyGNIEZtJ8QaqFn6AsGvGgZ09p3UMROD7Ueu8CZ8lLWJDub5erYzUiEOWXYlQOkyfFPM=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,Looking forward to the show.
Muskan Abrish,https://yt3.ggpht.com/ytc/AGIKgqMFKOEwXhPyn-7_Gi74NIwHZ7PR7WAXl6WwdWVydA=s48-c-k-c0x00ffffff-no-rj,1 year ago,7,"Ehmad bhai. Please reply must
 I'm studying chemistry as my main subject. Last year i hear about freelancing and start learning it... i learned many things but web development fascinated me. I liked it most.. i started from wordpress then html and now python... i want to learn and explore it more... now i think chemistry is nothing to do in my career. What should i do? Should i leave this and get admission in CS or continue it? Please guide"
