User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Ehmad Zubair,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,8 months ago,3,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv
Bilal Baqar,https://yt3.ggpht.com/ytc/AGIKgqP7DRSaRp8slUa8oXY9D9G8pEtdz2-_hI3ANoEawA=s48-c-k-c0x00ffffff-no-rj,2 years ago,12,Excellent comparison. Especially going over the courses side by side. Already sharing this with students that are making the choice between the two degrees.
Hannan Ahmad,https://yt3.ggpht.com/ytc/AGIKgqN_O7AiNx_fRKRz_B9vE478LfYkxYAxO55_BSApcw=s48-c-k-c0x00ffffff-no-rj,6 months ago,0,It was a nice video Ehmad. Could you please tell me If the Software Engineering degree includes a final year project like other engineerings? I could not find it in the NUST's course outline. TIA!
AY S,,1 year ago,2,"Sir can you provide the link to the spreadsheet , i just need to match them side by side thoroughly"
Anas Ishaq,,10 months ago,6,"You really helped me out 
I am applying in different universities these days as most universities admissions are closing almost in mid July
I was really really really confused which one to choose
But now I am confident that i am going with BSCS
May Allah bless You."
Ashar Iqbal,,1 year ago,0,Can you give an overview of Bachelor's in Artificial intelligence and about it's job in Pakistan ?
Zain Mehmood,,1 year ago,0,"hi , Can you please make a video on Software Engineer in the field of ERP , CRM  like Salesforce , Dynamics AX/CRM 365 ? the big tech corporates work mostly in digital transformations. Please have a video on that as well."
Nikhil Brar,,1 year ago,0,hey Sir i have a doubt that which is better -Software engineering by IT Or By doing degree like m.c.a or b.c.a
Muhammad Aashir,,2 years ago,3,Very informative. Can you please share the difference between Computer Systems Engineering and CS?
Malaika Ali,,2 years ago,5,"Amazing video!
Your efforts to guide us are much appreciated.
Kindly make a video regarding Computer Engineering."
ImmaSavage Bro,,2 years ago,0,What do you think about IBA's CS Program? Are there any benefits of doing MBA after CS? in MIS maybe?
Sufyan Aftab,,2 years ago,6,Good to see such informative content in Pakistan .Can you please make a video of Computer engineering vs computer science.
Muhammad Abdullah Faran,,2 years ago,18,Tell us about when to start an internship for computer science student(means in which semester) and what if 1 doesn't know how to work then why someone will give him unpaid internship
Abdullah Saeed,,1 year ago,0,I have Complete my graduation last month and I studied ACS(advanced copmuter studies) and now I don't know what to do so can any one guide me according to my subjects that what  is better for me 
Fruits Army,,2 months ago,0,Sir what do you think is better software engineering or cs
Mohammad Talha,https://yt3.ggpht.com/ytc/AGIKgqMFTDo6RMT6J4AG6Uoko1PO_xemJtvP3H6dNCxfqw=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Ehmad please share the SpreadSheet URL
Dany Bilz,https://yt3.ggpht.com/ytc/AGIKgqP5oA9Ds8s8kJSzpKjvnUY6QmFruQjeSpzl25Aa=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,Good stuff. Quite informative video. Carry on the good work. Thanks.
