User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Usman Y.,https://yt3.ggpht.com/ytc/AGIKgqPXaxlBbpg_z-lu3UMauafT_iWtL7br20Id-aOvsQ=s48-c-k-c0x00ffffff-no-rj,2 years ago,9,"No wonder I call Rizwan Aslam ""Guru Ji"" for a reason. He's an amazing teacher and a great friend!"
Umair Ahmed,https://yt3.ggpht.com/ytc/AGIKgqOHAjXhZUnfUsCVNIfEU6t6RqWOnsZlyktLzTI3yg=s48-c-k-c0x00ffffff-no-rj,2 years ago,2,"We had a vey short but joyful time together while I was in Arbisoft, sharp and indeed a good human being. Seeing him after a long time brings good  old memories."
Usama Baig,https://yt3.ggpht.com/ytc/AGIKgqN8r3OsdyHIKrOLYYvcRymoPJCcNzLOQRwqUGVBeg=s48-c-k-c0x00ffffff-no-rj,2 years ago,5,"Ehmad, You’re doing a great job, I’m following you since your first video on this channel. I love and really needed this type of content and wish you great success.

I’ve got a suggestion, I’ve noticed that most of the YouTubers have a specific time when they publish their videos which is mostly in the evening when most of the audience is available to watch immediately and the early interactions make YouTube suggest the video to more users.
Videos published early in the morning get less immediate interactions (that's what I think) and are somewhat fail to impress YouTube's algorithm.

Your videos just deserve more.

Thank you."
M. Fahad,,1 year ago,1,"Watching this first time, and I can't stop praising him..what an amazing guy..he just ignited my spirit."
AwaisFayyaz Dev,,2 years ago,1,Great work Ehmad bhai. Your channel is bocoming a Good resource of career counseling for students and fresh graduates. Keep it up!
Muhammad,,2 years ago,1,Thank u Ehmad for giving us Quality contents
Muhammad Tabish,,1 year ago,0,"I think my story is related with sir rizwan aslam's story.
Inshallah,in future i'll become like rizwan bhai"
The Dark Khan,,2 months ago,0,"Rizwan bhai ki tou kya he baat hae. Love this guy ️
MashaAllah Allah SWT Deen aur Dunya mae aur bhi kaamyaabi de. Ameen"
Hasnain Naveed,,2 years ago,1,"One of the best people, I have encountered in the industry."
Tasawar Hussain,,2 years ago,1,Novels + Maths = ️
Jawad Chughtai,,2 years ago,3,"26:26 =)
Trust and Effort. Two big lessons from the video!"
Fahad Amin,,1 year ago,0,Motivational personality with inspirational conversion
Abdul Ahad,,2 years ago,2,"i am doing software engineering(1st semester) from virtual university of pakistan, can you guide me what should i do during my studies? and what type of difficulties, graduated students from virtual university has to face in pakistan's job market.(if you have any knowledge about it)please answer me"
Rehan Ahmed,,2 years ago,2,Boht ahla ehmad bhai ap hum jese    students ke lye boht acha kaam kr rhe han. Allah apko kamyabyan ata kare.
Hassan Saleem,,2 years ago,0,"thanks for considering my questions, Best content learning a lot more things as a software engineering student..."
Kamran Hasan,,2 years ago,1,"Loved the interview, God bless you!"
Khizar Hayat,https://yt3.ggpht.com/ytc/AGIKgqM3rgoR9isRxgmx9mzPEI_KN_UtobrQEcO6406-zA=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,One of the best episode.
