User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Ehmad Zubair,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,8 months ago,0,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv
Aliyan Ahmed,https://yt3.ggpht.com/ytc/AGIKgqPbka_YVMknFdJ7LLBnzwXAjDfmogG0qg-7xUU4=s48-c-k-c0x00ffffff-no-rj,2 years ago,4,"Ehmad bhai I want you to have a detailed episode on careers in UX DESIGNING , DIGITAL MARKETING & GRAPHIC DESIGNING !
If possible make it a bit sooner.
Regards"
Qurratulain Imran,https://yt3.ggpht.com/ytc/AGIKgqOopR_Nwpuc6Tr6DEy5cpLUlTy5Rg6xbZf3wGkJVg=s48-c-k-c0x00ffffff-no-rj,3 months ago,0,"Assalamualaikum I am really confused between CS and software, I have no particular interest in coding overall but I am more into architecture and designs of system, plus I am also building my career in UX designing, I am little confused which one should I pick because some people say software is hard and won't allow you to reach in many fields.kindly guide."
Muzamil Nawaz,,2 years ago,6,"Assalamu alaikum Ehmad Bhai,
First things first very informative content you are producing out there, I really appreciate that.
Secondly my concern is, in one of your videos you guys mentioned that reputation of ""University"" is important in our first job as Software Engineer, but let's say if we didn't get the opportunity to join best of institutions, so what's the next important things to do to overcome that lacking?
I hope I made my question clear,
Will be eagerly waiting for your insights.
Thank you ;)
Best regards,
Muzamil"
c_a,,2 years ago,0,"An interesting topic for a video might be to talk about ""self taught developers"". Im im BSc EE, and I've been learning to code alongside EE for 2 years now. But I dont know whats the status of a self taught dev, are there any self taught devs in Pakistan, if so how do they maneuver career wise etc"
Masoom Bari,,1 year ago,3,Thank you so much Ehmad bhai. you cant imagine how helpful and motivating this video is for students like me. God bless you
sabah hussain,,1 year ago,2,"Watching from the UK, great job! Clean clear videos helpful for our our speaking people. Please talk about ux designer in detail."
Zaeem Javed,,2 years ago,1,"Very good initiative. 
Information Security k roles b discuss karen which dont involve coding."
Arslan Bashir,,1 month ago,0,"Ehmad bhai you might not know k ye kitni zabarsast video ap ne banai, this can be used as a reference.

Kindly do make videos on roles like Solution Analyst, Solution Architect, Business Analyst, Business Developer, Product Analyst, Product Manager & Product Owner.

Thanks in Advance!"
the Dreams,,2 years ago,3,"This is what I've search for 
Thanks bro "
