User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Adeen Ahmad Zia,https://yt3.ggpht.com/ytc/AGIKgqMnCvskKzCH3lsAsFh-fD20kZj3U2Ztr765J7gPyw=s48-c-k-c0x00ffffff-no-rj,1 year ago,2,"Sir, i started watching your videos about half an year back and it motivated me alot. I started learning frontend and now i am going for backend as well"
Muhammad Hamza,https://yt3.ggpht.com/ytc/AGIKgqNaCuZYasjYOheWmVkN779Vd-CSd284meFIHw8_uA=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,"Sir do you offer internships as well or only jobs?  
And keep posting your content it really is useful !!!"
MUDASSER KHAN,https://yt3.ggpht.com/ytc/AGIKgqMmBfzsgEqRqip30-7nUTkmcHU2a826HAx6koANpg=s48-c-k-c0x00ffffff-no-rj,4 months ago,0,"Hello sir, I'm confused between php(Laravel) and node.js, most people prefer node.js but I'm not sure if that's the right choice in Pakistan. Hope you'll reply"
Muhammad Rohail,,1 year ago,2,"Aslam-o-Alaikum Ahmed Zubair Bhai, Please also guide to start internship in Good Software House. What they see in intern ? What they expect ? How much skill level required ? Specially For Web development,
 I have learnt Vanilla JS Now I am thinking I will learn more by working with professionals."
Sufyan Kamran,,1 year ago,8,"This video is for my type of peoples. Because about 1.5 year I didn't get what should I do. But you solve my issue ( career goal ). Thank you so much sir,  keep it up, and make more videos."
Adeen Ahmad Zia,,1 year ago,0,Sir a little problem with code with mosh is that you have to buy his subsricption to get source code. Otherwise he is brilliant
Flutter Javascript,,1 year ago,2,"really love the video .
hope to get more in future. 
thanks for great content."
Hasnain Haider,,8 months ago,0,"Sir i am litte bit confused about choosing technology i am going to follow your tip and started with web development
I have already done the front end
But i have now interest in backend should i started with php because some senior advice me to started with it.
But my newbie friends are started with modern technologies"
Moiz Hassan Sandhu,,8 months ago,0,You nicely explained that how to get started with computer science but I want to know that in which class should I start with computer science as a subject?
Rizz Rullzz,,1 year ago,1,"Finally our Brother is back , Bai mena kal hi app ki sb videos youtube playlist ma download ki recently jo university students related thin , nd very happy to see you back again with another masterpeace ."
anisha rana,,1 year ago,0,Sir ur doing a great job it's really help full. Thank u and I have one request that plz make one video on artificial intelligence career or jobs
Team Wholesale,https://yt3.ggpht.com/ytc/AGIKgqPGA8kSUUE61IAcpsu7fbbtPVFnccTok6V_yw=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,"There is a institute in Lahore with name ""EVS Learning"" which is recomended to everyone who wants to get into Web Developement.
Please make a video on that topic also"
Zayn 8bp,https://yt3.ggpht.com/jP6OZMUsEVDZGY2_L8Kho3LH5vc49P3ao-56ZvZ8bHIJIVRGOhvXkr_mrcSuuihvtb7fJLAU=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,"Hi Ehmad, could u pls answer this! I've knowledge in python (django) and java. Now to which I have to do DSA - python or java?"
Shoaib Goraya,https://yt3.ggpht.com/ytc/AGIKgqNXBVamgfQSBdor70OBPlZ6j8X0J1xziErDJzg-MqlOrNceMwaPop841nIS9lEf=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,"Bro I am BsCS istyear student in Namal University Mianwali, founded by Imran Khan . And in Namal ,they are teaching us python in first semester while all other universities are teaching c++. Is it good or bad ?"
arham rasheed,https://yt3.ggpht.com/ytc/AGIKgqMoafmwGmqwtQp_4740w8XPwjUwoKokounujOCU=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,I totally agree with you with this motivation I just started learning node js
Muhammad Ali,https://yt3.ggpht.com/ytc/AGIKgqPUG7abMAUuXTJZqyVRZ7DAIWxmGl9_aYhzKVx3Og=s48-c-k-c0x00ffffff-no-rj,1 year ago,3,Being a senior Django developer I can agree with your all points highlighted in this video.
Uzair,https://yt3.ggpht.com/ytc/AGIKgqMGp55lTShMHajFlDkzCpTQk3zrmFS3jBsUSOqLFg=s48-c-k-c0x00ffffff-no-rj,1 year ago (edited),0,"Best programming-related content you can find in Pakistan!
Thanks a lot bro"
Ahmed Naeem,https://yt3.ggpht.com/ytc/AGIKgqNE_e_Djei4sAqhDqz4_R2-rU-uBadoqf7Tbg=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Most valued channel on computer science...
Ahmed Naeem,https://yt3.ggpht.com/ytc/AGIKgqNE_e_Djei4sAqhDqz4_R2-rU-uBadoqf7Tbg=s48-c-k-c0x00ffffff-no-rj,1 year ago,3,"Is it good to learn C++ as your first programming language, then move to python, learning web frameworks such as Django and Flask?"
Danieyal Khan,https://yt3.ggpht.com/ytc/AGIKgqOCRaucW1uD480b4fi1DuKkB1MsolX4fQetkMTg3A=s48-c-k-c0x00ffffff-no-rj,10 months ago,0,Assaalamoaliqum. Can you make a video highilghting the career paths for a CS graduate
